person_key,source_kind,source_key,video_key,video_uid,politician_key,line_no,line_from,line_to,start_time,end_time,start_s,end_s,char_start,char_end,line_text,line_sha256,major_area,sub_area,criterion_code,criterion_index,score,knowledge_score,quote,rationale,confidence,speaker,contract_version,run_id,assessed_at
ro_khanna,transcription,-ONkkFgs6L8,-ONkkFgs6L8,ro_khanna::-ONkkFgs6L8,ro_khanna_ca_17,17,17,18,0:01:04,0:01:21,63.99,80.99,1164,1457,"Well, I believe we're  going to pay our bills, and I don't think we're going to default. It would be catastrophic. It would be a self-inflicted wound on the greatest economy in the world. Why would we want to do that? Pay our bills, and then let's discuss, honestly, how to reduce the deficit.",557b7296595bbc416b57ab1c71b361e82c816f0e675196053fc43f670058385d,economics,presidential_crisis_command,EC110LTU,51,25,30,"Pay our bills, and then let's discuss, honestly, how to reduce the deficit.","Asked whether there would be a debt-ceiling deal, said the country would pay its bills, that he did not expect a default, and that the deficit conversation should follow rather than ride on the ceiling. That sequencing states the instrument in the right direction -- the ceiling is permission to borrow for obligations already incurred, not a spending control -- which is the exact negation of this sub area's harmful inversion ('the debt ceiling is how we cut spending'). Nothing further was named: no extraordinary measures, no X-date, no default-versus-prioritization fork, no desk (Treasury, Fed, Congress) placed, and no number. 'Catastrophic' and 'a self-inflicted wound' are characterisation, not mechanism. MECHANISM only, stated in plain English; no ANCHOR, no AUTHORITY, no FALSIFIER.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-ONkkFgs6L8,-ONkkFgs6L8,ro_khanna::-ONkkFgs6L8,ro_khanna_ca_17,19,19,19,0:01:21,0:01:43,81.14,103.45,1459,1882,"I mean, let's talk about repealing some of Trump's  tax cuts on the very wealthy. Let's talk about repealing some of George W. Bush's tax cuts on the very wealthy. Let's talk about scrapping the cap on Social Security after $250,000. Let's talk about certain defense cuts so we don't have a trillion-dollar defense. I've just put a number of proposals on the table, and we can have that conversation after we pay our bills.",2794e09efd4deaccd1c6dbe8ced40893ef90274d8b9620110820ce66c0f4d367,economics,fiscal_debt_public_purse,EC04HDF4,44,35,30,"Let's talk about scrapping the cap on Social Security after $250,000. Let's talk about certain defense cuts so we don't have a trillion-dollar defense.","Asked what he would put on the table to reduce the deficit, listed four named levers: repealing part of the Trump tax cuts on high earners, repealing part of the Bush tax cuts on high earners, applying the Social Security payroll tax again above a $250,000 threshold, and holding the defense topline below a trillion dollars. He named the payer class each lever falls on ('the very wealthy', earners above $250,000) and said he had put proposals on the table. He did not state the residual identity or the three paths that close it, did not distinguish statutory from economic incidence or name an elasticity, did not size any lever against the gap, and named no bill and no vote. ANCHOR (four live instruments, a dollar threshold, a topline figure) + LOSER (the payer class named), with MECHANISM only implied and no FALSIFIER. Substitution-checked: the same list of named formula levers pointed the other way -- retirement age, benefit indexation, means-testing -- at this depth reads at the same number.",low,SPEAKER_11,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-ONkkFgs6L8,-ONkkFgs6L8,ro_khanna::-ONkkFgs6L8,ro_khanna_ca_17,22,22,25,0:01:54,0:02:17,113.68,137.04,2055,2469,i'm willing to sit  down with him and i have  before we worked on legislation here's one thing i think bipartisan we could get behind you know the people who got some of the covid money who should not have qualified for it multi-million dollar firms that basically  gamed the system why don't we audit everyone who took those covid loans and make sure they actually qualified that would start that'd be a start i'm,4723b155616dc1f8f3a443968f3405052ee2d908f61a5076152249c8c2603a95,economics,rigging_capture_public_choice,EC08JLFC,48,35,40,why don't we audit everyone who took those covid loans and make sure they actually qualified,"Offered as his bipartisan proposal that the COVID relief loans be audited across the board to check whether recipients qualified, and named the winner class as 'multi-million dollar firms that basically gamed the system'. That is a live US program described as paying a concentrated group out of a diffuse public, with a remedy that is a rule applied to everyone rather than a claim about villains. He named no agency holding the pen (no SBA, no Inspector General, no committee), no dollar figure for the improper share, no concentrated-benefits/diffuse-costs statement, and no privilege on his own side. MECHANISM (eligibility rules that let large firms qualify, remedied by verification and recovery) + ANCHOR (a named live program), no number and no AUTHORITY. Substitution-checked: the same proposal aimed at a different subsidy programme reads at the same number.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-ONkkFgs6L8,-ONkkFgs6L8,ro_khanna::-ONkkFgs6L8,ro_khanna_ca_17,27,27,31,0:02:26,0:02:53,145.89,172.66,2660,3146,"look, I  mean, I'm all for the mom and pop shops getting it. But if you're a multimillion dollar business and you got COVID funding  and you didn't qualify, I mean, that should be money coming back to the taxpayers. There's a lot more that I want in terms of repealing some of the  top tax cuts for the very wealthy on that Trump had and Bush had. But those are going to be more contentious. But the COVID money that went out to people  who didn't deserve it, that should be bipartisan.",60b0e49a7e8132be17f8516906299af1ba703664962d31876146426824bec643,representation_leadership,listening_and_interview_judgment,RL03W4BR,156,30,30,I'm all for the mom and pop shops getting it. But if you're a multimillion dollar business and you got COVID funding,"The host put a hostile point to him -- that he might not like what an audit turned up, and that the recipients are public data. He answered it by narrowing and restating his own criterion (small recipients kept, large unqualified recipients repaying) rather than by disputing the host's standing or changing the subject, and he separated the part he called bipartisan from the part he called contentious. He did not engage the specific implication the host raised, named no instance the audit would catch on any side, and produced no new fact under the pressure. Answered a hostile question without withdrawing the questioner's standing; no concession, no named case.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-ONkkFgs6L8,-ONkkFgs6L8,ro_khanna::-ONkkFgs6L8,ro_khanna_ca_17,36,36,40,0:03:20,0:04:09,199.98,248.69,3560,4391,"There are a lot  of people,  they're insured, they have a stay in the hospital, and, you know, you break a bone, you have a car accident, and then they find out that their own insurance covered 80%, 90%, which may sound good, until you find out you've got a $200,000 bill, and you're left with $10,000, $20,000, $30,000 of debt. And a lot of people have this debt, and it keeps accumulating with credit card payments, and what we're saying is no one in America should go into debt.  for falling  sick I don't think that that's hard to do people say well who's going to pay for it I mean we pay as a society for our roads in this country for our public schools I think the richest country in the world where my district  has 10 trillion dollars of market value can say we'll pay to make sure no one goes into medical debt in America",3776b73e3d51bfb5afb7ad90e8f68f33dc602170e49814a2143113b14a55ca21,domestic_policy,healthcare_coverage_and_who_pays,DP04E76M,34,45,50,"their own insurance covered 80%, 90%, which may sound good, until you find out you've got a $200,000 bill, and you're left with $10,000, $20,000, $30,000 of debt","Asked whose medical debt he wanted cancelled and how it would work, he described insured households rather than uninsured ones and walked the coinsurance path: a card that pays 80 or 90 percent of a large hospital bill still leaves the household five figures short, and the balance then compounds on credit cards. That states the direction correctly and is the direct negation of this sub area's harmful inversion, 'if everyone has a card, spending is solved'. He answered 'who pays for it' by analogy to roads and public schools and by citing his district's ten trillion dollars of market value, which is a wealth claim rather than an incidence claim -- no tax, no payer, no revenue base. MECHANISM (a card is not protection against cost-sharing on a catastrophic bill) + ANCHOR (80/90 percent, a $200,000 bill, a $10,000-$30,000 residual) + LOSER (the insured household that gets sick); no AUTHORITY and no FALSIFIER.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-ONkkFgs6L8,-ONkkFgs6L8,ro_khanna::-ONkkFgs6L8,ro_khanna_ca_17,46,46,47,0:04:22,0:04:58,262.5,297.77,4523,5039,"Sure, there's about $89 billion of medical debt in this country.  And my view is that we should first stop the price gouging of hospitals and make sure that there's not aggressive debt collection, but then we should set up a federal fund for those hospitals to be able to be compensated for the legitimate debt.  I'm very open that I think it should be the taxpayers that are paying for the medical debt for people. But I just think as a society, we shouldn't have people going into debt. I think it's wrong. I don't",22a6eb28c3d942bded06474ca5b36ed5bd84e0513eb65bbf0c5934f50786df08,domestic_policy,healthcare_prices_drugs_and_providers,DP05ZX8Q,35,25,30,"we should first stop the price gouging of hospitals and make sure that there's not aggressive debt collection, but then we should set up a federal fund for those hospitals to be able to be compensated for the legitimate debt.","Sequenced the remedy: stop hospital price gouging and aggressive collection first, then compensate hospitals from a federal fund for what he called the legitimate debt. The sequencing carries a real second-order point -- paying off billed charges without changing the price first would fund the charge -- and it names hospitals as the party capturing the difference and distinguishes billed from legitimate debt. He named no pricing mechanism behind the charge (no facility-fee differential here, no chargemaster, no consolidation, no certificate of need), no agency holding the pen, and no number on the price side. MECHANISM in outline + LOSER named; 'price gouging' is a characterisation standing where the pricing channel would go, which is what holds this reading down.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-ONkkFgs6L8,-ONkkFgs6L8,ro_khanna::-ONkkFgs6L8,ro_khanna_ca_17,46,46,47,0:04:22,0:04:58,262.5,297.77,4523,5039,"Sure, there's about $89 billion of medical debt in this country.  And my view is that we should first stop the price gouging of hospitals and make sure that there's not aggressive debt collection, but then we should set up a federal fund for those hospitals to be able to be compensated for the legitimate debt.  I'm very open that I think it should be the taxpayers that are paying for the medical debt for people. But I just think as a society, we shouldn't have people going into debt. I think it's wrong. I don't",22a6eb28c3d942bded06474ca5b36ed5bd84e0513eb65bbf0c5934f50786df08,economics,fiscal_debt_public_purse,EC04HDF4,44,40,30,I'm very open that I think it should be the taxpayers that are paying for the medical debt for people.,"Pressed on who covers the cost if the debt is wiped out and somebody is not getting paid, he sized the liability at about $89 billion of medical debt nationally and then named the payer as the taxpayer, in his own words and without dressing it up. That is the 'who actually pays' question answered against his own rhetorical interest rather than deflected onto 'the rich' or 'the system'. He did not set the $89 billion against a revenue source or an offset, did not state the residual or the closers, and did not say what a household's share of it would be. ANCHOR (a dollar size for the liability) + LOSER (taxpayers, named); MECHANISM thin -- a transfer is asserted, not costed -- and no FALSIFIER.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-ONkkFgs6L8,-ONkkFgs6L8,ro_khanna::-ONkkFgs6L8,ro_khanna_ca_17,56,56,58,0:05:41,0:06:12,340.84,371.83,5761,6324,"agree with  you. Now, we may disagree, but I think Medicare for all would actually lower costs because  you'd be taking out the hospital facility fees. You'd be taking out all of the private insurance profits. You'd be taking out the excessive profits of pharma. And we also have technology solutions that can reduce costs. But look, we pay 20% of our GDP in health care costs. It's what's led to wage stagnation. It's what led to some of the offshoring of manufacturing. We need to figure out how we get some of the excessive costs out of the system. Congressman",34c9e710fb7f4a7080c261e5d25f0e83e7a8bc2582a3ca1a93e24625facba604,domestic_policy,healthcare_coverage_and_who_pays,DP04E76M,34,30,30,we pay 20% of our GDP in health care costs. It's what's led to wage stagnation. It's what led to some of the offshoring of manufacturing.,"Put the national health share of GDP at twenty percent and said it is what has driven wage stagnation and some offshoring of manufacturing. The direction is correct and is the opposite of this sub area's harmful inversion, 'the employer pays, so it is free to the worker' -- he places the cost on the worker. He gave the two ends and not the step in the middle: no employer premium as part of total compensation, no tax exclusion, no unit-labour-cost path, and no number on either the wage or the offshoring leg. ANCHOR (a share-of-GDP figure) with MECHANISM asserted rather than walked; no AUTHORITY, no FALSIFIER. Routed here rather than to labour markets because the claim is about the incidence of health spending on the worker, which is this sub area's own leaf.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-ONkkFgs6L8,-ONkkFgs6L8,ro_khanna::-ONkkFgs6L8,ro_khanna_ca_17,56,56,58,0:05:41,0:06:12,340.84,371.83,5761,6324,"agree with  you. Now, we may disagree, but I think Medicare for all would actually lower costs because  you'd be taking out the hospital facility fees. You'd be taking out all of the private insurance profits. You'd be taking out the excessive profits of pharma. And we also have technology solutions that can reduce costs. But look, we pay 20% of our GDP in health care costs. It's what's led to wage stagnation. It's what led to some of the offshoring of manufacturing. We need to figure out how we get some of the excessive costs out of the system. Congressman",34c9e710fb7f4a7080c261e5d25f0e83e7a8bc2582a3ca1a93e24625facba604,domestic_policy,healthcare_prices_drugs_and_providers,DP05ZX8Q,35,40,40,you'd be taking out the hospital facility fees. You'd be taking out all of the private insurance profits. You'd be taking out the excessive profits of pharma.,"Asked why a twelve-minute office visit produced a $1,084 bill, he named three components of the price stack a single-payer architecture would remove, and flagged the disagreement rather than papering over it. Hospital facility fees are the site-of-care payment differential this sub area names by name, and identifying it is a real payment-policy item rather than a slogan; the other two legs, 'all of the private insurance profits' and 'the excessive profits of pharma', are asserted margins with no magnitude, no share of the twenty percent, and no agency. He offered no number on any of the three and did not state the other side's case. MECHANISM (removing intermediary margin and the site-of-care differential lowers the delivered price) + one specific ANCHOR (facility fees) + LOSER (hospitals, insurers, pharmaceutical firms, named without softening); no magnitude and no FALSIFIER. Substitution-checked: an opposite prescription naming the tax exclusion's distortion and the same facility-fee differential at this depth reads at the same number.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-ONkkFgs6L8,-ONkkFgs6L8,ro_khanna::-ONkkFgs6L8,ro_khanna_ca_17,56,56,58,0:05:41,0:06:12,340.84,371.83,5761,6324,"agree with  you. Now, we may disagree, but I think Medicare for all would actually lower costs because  you'd be taking out the hospital facility fees. You'd be taking out all of the private insurance profits. You'd be taking out the excessive profits of pharma. And we also have technology solutions that can reduce costs. But look, we pay 20% of our GDP in health care costs. It's what's led to wage stagnation. It's what led to some of the offshoring of manufacturing. We need to figure out how we get some of the excessive costs out of the system. Congressman",34c9e710fb7f4a7080c261e5d25f0e83e7a8bc2582a3ca1a93e24625facba604,policy_wonk,healthcare_coverage_statutes,PW05KP9Q,137,0,10,I think Medicare for all would actually lower costs,"Proposed restructuring Medicare into a universal programme and named no instrument for it: no title or section of the Social Security Act, no Secretary, no waiver authority, no transition, no treatment of self-funded employer plans, and no vehicle in Congress. On this sub area's own question -- which code section and whose signature -- he named the destination and went no further, which is the zero rung and not an absence. His cost argument is a price-stack claim and is read on its own terms in the prices sub area; nothing here touches the statute layer.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
