person_key,letter,source_kind,source_key,video_key,politician_key,line_no,line_from,line_to,start_time,end_time,start_s,end_s,char_start,char_end,line_text,line_sha256,score,criterion_code,criterion_key,criterion_index,direction,quote,rationale,confidence,speaker,contract_version,run_id,assessed_at
kari_lake_us_pres,a,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres,26,26,26,0:02:29,0:02:37,149.07,157.97,2723,2890,"And people aren't for that. He's actually was the co-sponsor of the George Floyd legislation, which would have defunded the police nationwide and got rid of qualified",d68412dd6764d0efa64fa6a451fb91fa32e62b0f5573123672f921481a1037d4,-4,AbW3nK9t,problem_law_defended,19,away,"He's actually was the co-sponsor of the George Floyd legislation, which would have defunded the police nationwide","Attacked her opponent for cosponsoring a bill she said would have defunded police nationwide and ended qualified immunity, treating the ending of that shield as the harm. That is a defence of an instrument shielding officials from suit by citizens, which is the same kind as the movement's own congressional-self-exemption record; instrument and fate are both present, stated in passing inside an attack and carrying one reason, so it sits at the low end of the away band. The qualified-immunity clause continues onto line 27.",medium,SPEAKER_04,1.0,grp_a_20260905T2336Z_4286,2026-09-06T03:35:07.000Z
kari_lake_us_pres,a,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres,45,45,45,0:04:48,0:05:16,288.95,316.84,5076,5570,"half years. And my opponent is never gonna vote for that. He's never gonna approve of that because he's, like I said, family ties to the cartels, a convicted felon, close family member, his father, a convicted felon who was a drug trafficker for the cartels. This is somebody who's not going to get serious and come after the cartels. And as you heard there, President Trump wants to take on the cartels, take on the criminals who are pouring across our border. My opponent said he never wants",41b2d818037f323b00bfba6303de7dfe08d2d38f6b37e9f6a0cee6f8bcfdc3ca,4,A2Hs6LxN,officials_answer_elsewhere,3,toward,"He's never gonna approve of that because he's, like I said, family ties to the cartels","Said her opponent will not act against the drug cartels because of what she described as his family ties to them, citing a relative's conviction as the anchor. Read onto this criterion because the shape of the claim is an officeholder's conduct on a named policy being settled by something other than the voters; the actor and the anchor are present and the channel itself is only asserted, which holds it in the hedged band rather than the middle one. Confidence is low because the passage is a campaign attack on one candidate rather than a claim about where decisions are made.",low,SPEAKER_04,1.0,grp_a_20260905T2336Z_4286,2026-09-06T03:35:07.000Z
kari_lake_us_pres,n,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres,7,7,7,0:00:28,0:01:14,28.56,74.72,529,1288,"Myra's in more debt, which is tear open at one secure border. He's actually pushed for hits to Social Security and Medicare as well. So he's really hit against every single member in Arizona and our streets are not safe. His homeless population in his district is the fastest growing homeless population in in the country so he had that horrible record that he had to try to defend and there is no defending it so he tried to lie and not to mention his horrible treatment of women in his past his family connections to mexican drug cartels i mean this guy's a real disaster and i had to let the people of arizona know about it so we did really well and we're out campaigning hard early voting has started john and people are already getting out there to vote",f4d77c894cda4a2d89e11330382ee20811c7736b1028a154e5857c639fb70942,-7,Nap2Qx7n,sustained_political_argument,12,away,he had that horrible record that he had to try to defend and there is no defending it,"Argued her opponent's record in office at length and with specifics across this passage: debt, the border, Social Security and Medicare, his district's homeless count and his conduct. Sustained political argument is the whole of what she says here and nothing non-political runs alongside it, which is what takes a neutrality claim away.",high,SPEAKER_04,1.0,grp_n_20260905T2336Z_4286,2026-09-06T03:35:07.000Z
kari_lake_us_pres,n,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres,17,17,17,0:01:39,0:01:45,99.13,105.01,1777,1870,"we're waiting for the president to arrive here in Arizona. Arizona loves President Trump, and",dbd856e03544512e0be20ed953b79724117e1256aeb02ec2725251697192de6b,-3,Npi7Gv5s,partisan_identity_declaration,16,away,Arizona loves President Trump,"Declared alignment with a named political figure while waiting for him at her own campaign event. A bare alignment statement with little built on it, so the light end of the band.",medium,SPEAKER_07,1.0,grp_n_20260905T2336Z_4286,2026-09-06T03:35:07.000Z
kari_lake_us_pres,n,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres,26,26,26,0:02:29,0:02:37,149.07,157.97,2723,2890,"And people aren't for that. He's actually was the co-sponsor of the George Floyd legislation, which would have defunded the police nationwide and got rid of qualified",d68412dd6764d0efa64fa6a451fb91fa32e62b0f5573123672f921481a1037d4,-5,Npa9Fh4p,named_policy_advocacy,13,away,"He's actually was the co-sponsor of the George Floyd legislation, which would have defunded the police nationwide","Named a specific instrument, the George Floyd legislation, and took a clear position against it, saying it would have defunded the police nationwide. A named instrument with a stated fate is a prescription rather than ordinary talk. This letter takes no view on whether the position is right.",high,SPEAKER_04,1.0,grp_n_20260905T2336Z_4286,2026-09-06T03:35:07.000Z
kari_lake_us_pres,n,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres,28,28,28,0:02:46,0:03:16,166.97,196.09,3080,3585,"office. That's the most ridiculous thing I've ever heard. And you can just go back to that progressive caucus in the House of Representatives where all of the bad ideas come from. The ideas that make us wonder what in the world's going on. And he was the leader of the Progressive Caucus, who's voted with Kamala Harris and Joe Biden 100 percent of the time, even more than AOC and the squad. He's further to the left than Bernie. He's further to the left than, you know, you name it, any crazy president",011b50363c6e8e8d65518b78c3c0431f14ac3c1333fb5cd812b105ed46b42f0b,-6,Nap2Qx7n,sustained_political_argument,12,away,"he was the leader of the Progressive Caucus, who's voted with Kamala Harris and Joe Biden 100 percent of the time","Argued that the House Progressive Caucus is where the bad ideas come from and placed her opponent inside it with a voting figure and a comparison to named colleagues. A second sustained political argument, returned to after other subjects, with names and a number attached.",high,SPEAKER_04,1.0,grp_n_20260905T2336Z_4286,2026-09-06T03:35:07.000Z
kari_lake_us_pres,n,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres,31,31,31,0:03:18,0:03:34,198.14,214.23,3623,3903,and so he's the one who pushed by the way for fema to spend a billion dollars over the last two years on the illegals that are pouring in and that's why the coffers are empty right now and we can't afford to help americans in need every bad idea he's got his fingerprints on and i,95d2c6c5714c42a7c2b6df656b5152b9a87847b94c2b49bca6de26d2d6a37c12,-5,Ncg4Nz9t,civic_grievance_against_government,17,away,he's the one who pushed by the way for fema to spend a billion dollars over the last two years on the illegals that are pouring in and that's why the coffers are empty right now and we can't afford to help americans in need,"Held up a federal agency's spending, a billion dollars through FEMA over two years, as the reason the coffers are empty and Americans in need cannot be helped. Generalised and held as a position rather than told as one dropped anecdote, which is what makes it political speech.",high,SPEAKER_21,1.0,grp_n_20260905T2336Z_4286,2026-09-06T03:35:07.000Z
kari_lake_us_pres,n,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres,49,49,49,0:05:27,0:05:34,327.05,334.73,5733,5873,invasion sent back to their homeland. We need to repatriate these people back to their homeland so that we can save our homeland. Absolutely,66b1374c0587df8d824f95292c9d19d0df67e2b53edb8027c7f09b01298d14c7,-5,Npa9Fh4p,named_policy_advocacy,13,away,We need to repatriate these people back to their homeland so that we can save our homeland,"Prescribed a concrete measure: that everyone who entered during the previous administration be sent back, and that these people be repatriated. A stated prescription for what the government should do, which is political speech whatever its merits. The quote is taken only from the part of the line that is unambiguously hers; the line's trailing word belongs to the host.",high,SPEAKER_40,1.0,grp_n_20260905T2336Z_4286,2026-09-06T03:35:07.000Z
kari_lake_us_pres,n,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres,53,53,53,0:05:49,0:05:58,349.33,358.26,6161,6306,"your viewers, go to CarrieLake.com. Chip in and help. $5 or $10 will help us get the ads out that we need to warn people about who my opponent is",24b588dfd3561bc4d02fb89a3dee9d3364c7ceb25c7c0030c800bfd75b0083de,-9,Nem3Bd8q,electoral_mobilization,14,away,go to CarrieLake.com. Chip in and help. $5 or $10 will help us get the ads out,"Asked viewers to go to her campaign site and donate five or ten dollars to fund advertising. A fundraising ask naming the channel, the amounts and the purpose is a political act performed inside the source, which is the heaviest thing that pushes away from a neutrality claim; short of the floor only because no turnout operation is described.",high,SPEAKER_04,1.0,grp_n_20260905T2336Z_4286,2026-09-06T03:35:07.000Z
kari_lake_us_pres,x,transcription,-EZZ6G-xuyk,-EZZ6G-xuyk,kari_lake_us_pres,26,26,26,0:02:29,0:02:37,149.07,157.97,2723,2890,"And people aren't for that. He's actually was the co-sponsor of the George Floyd legislation, which would have defunded the police nationwide and got rid of qualified",d68412dd6764d0efa64fa6a451fb91fa32e62b0f5573123672f921481a1037d4,4,Xd4Kq7Za,defends_a_problem_law_by_name,0,toward,"He's actually was the co-sponsor of the George Floyd legislation, which would have defunded the police nationwide","Attacked her opponent for cosponsoring a bill she said would have defunded the police and ended qualified immunity, treating the ending of that shield as the harm, so the fate she argues for is that the shield stands. Substitution: the criterion's exemplars are the movement's own problem-law records and the subject's instance is qualified immunity, an official-liability shield of the same kind as the congressional self-exemption record. INSTRUMENT plus FATE, with the fate stated by implication inside an attack rather than directly, so the low end of the ordinary band. Foreign-noun strike test run: no foreign state appears in the quote, so nothing here is carried by a foreign-priority claim.",medium,SPEAKER_04,1.0,grp_x_20260905T2336Z_4286,2026-09-06T03:35:07.000Z
