person_key,source_kind,source_key,video_key,video_uid,politician_key,line_no,line_from,line_to,start_time,end_time,start_s,end_s,char_start,char_end,line_text,line_sha256,major_area,sub_area,criterion_code,criterion_index,score,knowledge_score,quote,rationale,confidence,speaker,contract_version,run_id,assessed_at
pramila_jayapal_wa_07,transcription,0piLWiFyYEo,0piLWiFyYEo,pramila_jayapal_wa_07::0piLWiFyYEo,pramila_jayapal_wa_07,9,9,9,0:00:58,0:01:11,57.76,70.72,719,933,"completely revamp the bill. But according to the New York Times, I'll quote the New York Times today, it said the Senate bill, once promised as a top-to-bottom revamp of the health bill passed by the House, instead",53247cce47fc6e78e4742570e495c407b48d8a956511625b2436bccb0a97ff26,intellectual_rigor,primary_sources,IR01RM9N,82,10,10,"according to the New York Times, I'll quote the New York Times today","Sourced the characterisation of what the Senate draft does to a same-day newspaper story, naming the outlet and reading its sentence verbatim rather than paraphrasing it. Named the writer, which is the sourcing habit this sub area asks for, but offered a newsroom recap as the authority on a bill text she had said one line earlier she had seen a draft of, and named no section, page or table. ANCHOR only (a named, dated claimant); no artifact. The newspaper's own sentence is read-aloud material and is excluded from the quote — only her attributive framing is scored.",low,SPEAKER_01,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,0piLWiFyYEo,0piLWiFyYEo,pramila_jayapal_wa_07::0piLWiFyYEo,pramila_jayapal_wa_07,10,10,11,0:01:11,0:01:33,70.72,92.78,935,1244,"maintains its structure with modest adjustments. It's the same bill. It's the same bill. And in fact, in some ways, it's a little bit worse.  Because the cuts to Medicaid,  while they don't take effect as quickly and they're more gradual, they're actually deeper than the House cuts to Medicaid. There's other",dc19445dd6dd57d8a693b82d7061fdf64fcf70cacce2dd437dbf4c0665712523,domestic_policy,healthcare_coverage_and_who_pays,DP04E76M,34,50,20,they're actually deeper than the House cuts to Medicaid,"Distinguished the phase-in speed of the Senate bill's Medicaid reductions from their eventual size, saying the cuts take effect more slowly and gradually than the House bill's and are nonetheless deeper. That is a time-path reading of a live coverage instrument stated in the right direction rather than a claim that the two bills are simply the same. MECHANISM plus a comparison against a named alternative text; no dollar figure, no growth-rate index and no per-capita-cap mechanism named at this point in the speech.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,0piLWiFyYEo,0piLWiFyYEo,pramila_jayapal_wa_07::0piLWiFyYEo,pramila_jayapal_wa_07,14,14,14,0:01:45,0:02:27,104.97,147.04,1402,2053,"And part of the reason they delayed the cuts to Medicaid is so that they hope that they can get a better,  CBO score, congressional budget score, which the American people should know the last time around, the second time around, after the first time the bill was about to come to the floor and then it got pulled from the floor because there weren't enough votes in the House, the second time when it did pass, it passed without a CBO score.  It was not scored. And the reason it was not scored was because there was a belief that that very narrow passage in the House would not happen if Republicans and Democrats found out that the bill, as, quote,",6e7a6dc73bff124e4ba9aacacc4c96457f09721c3cd3d2bad4244980a404e38b,constitutional_governing_competence,purse_authorizations_appropriations,CG03BT08,23,50,30,"the second time when it did pass, it passed without a CBO score.","Treated the CBO score as a desk constraint that shapes when a bill is drafted and when it is moved: said the Medicaid reductions were delayed in the hope of a better score, and walked the House sequence — pulled from the floor the first time for want of votes, passed the second time before it was scored. MECHANISM (the score as a timing constraint on drafting and scheduling) plus ANCHOR (two dated floor events on a live bill) plus the right scorekeeper named. No baseline named, no window stated, and no distinction drawn between mandatory and discretionary spending.",low,SPEAKER_01,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,0piLWiFyYEo,0piLWiFyYEo,pramila_jayapal_wa_07::0piLWiFyYEo,pramila_jayapal_wa_07,16,16,16,0:02:36,0:03:18,155.85,197.95,2174,2800,"Americans. So this is where we are today, a bill that's been crafted.  in secret, but is essentially the same bill. And I have received more than 9,000 calls and letters from constituents who have been very clear that Congress needs to do all it can to protect our seniors, to expand Medicaid, and to defend the gains that have been made over the last seven years. And you know what's really ironic about this whole situation is that if you think about some of the things that Republicans said about--  the Affordable Care Act when it was being passed. Here's a quote. In 2010, Speaker Paul Ryan said, after months of twisting",e7e1b05b19b7b3d32b5d1fdb388fbcc8ed4a7247e6daf5f4b76e783099f2355f,representation_leadership,reachability_and_casework,RL02CLA2,155,20,10,"I have received more than 9,000 calls and letters from constituents","Named the channel constituents actually used to reach the office and put a count on it, and said what they asked for. States the reachability fact in plain English with one number; names no instrument behind it — no office format, no casework desk, no franking or MRA consequence — so the passage stops at the volume of contact.",low,SPEAKER_01,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,0piLWiFyYEo,0piLWiFyYEo,pramila_jayapal_wa_07::0piLWiFyYEo,pramila_jayapal_wa_07,19,19,30,0:04:04,0:05:37,243.74,336.95,3556,4812,"open the doors in Congress.  They held over 100  Senate hearings. I wasn't here. This is based on actual reports and documents and files from Congress. Over 100 Senate hearings, 25 consecutive days of consideration and 161 amendments from Republicans. Many of those amendments were accepted into  the bill.  This is a  completely different process. We didn't have a single hearing on this  bill. The bill came to the House floor and there was some debate, but it certainly wasn't a hundred hearings. It wasn't 25 days of consideration. There weren't 161 amendments.  There weren't any amendments that were accepted from Democrats because there was no amendment process.  And  now, in the Senate, we're going through the same process, where a bill that is about the health care of hundreds of millions of Americans across this country is about to come to the floor, and they are not  going to accept any amendments.  Certainly not from the Democratic side. Maybe they'll take a few amendments from the Republicans before it comes to the floor. I don't know. We'll  have to see. But there's no debate on this. And how can we talk about the process of democracy  and even of civility and the ability to work together if we don't offer the other  side a chance",8a86d8326a7e3ebfeec314155d8563b442af1d4881b217bf7da81133a4dab806,constitutional_governing_competence,legislative_how_bills_actually_move,CG02O8IX,22,35,50,"The bill came to the House floor and there was some debate, but it certainly wasn't a hundred hearings. It wasn't 25 days of consideration. There weren't 161 amendments.","Compared how two health bills moved, using counted process facts — over 100 Senate hearings, 25 consecutive days of consideration and 161 Republican amendments on the earlier one against no hearing, no accepted amendments and no amendment process on this one — and carried the comparison forward to the Senate. MECHANISM (hearings, amendments and days of consideration as the steps a bill passes through) plus ANCHOR (three counts on a real, dated legislative episode). Held short of the upper rungs because no piece of the machinery is named: no committee of jurisdiction, no markup as distinct from a hearing, no Rules Committee or closed rule, no cloture, no reconciliation and no Byrd rule — the vehicle that explains why this bill could move without them is never mentioned. Substitution test run: the same counts and the same absence of machinery, said by a member of the other party about the earlier bill, reads at the same number.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,0piLWiFyYEo,0piLWiFyYEo,pramila_jayapal_wa_07::0piLWiFyYEo,pramila_jayapal_wa_07,20,20,20,0:04:08,0:04:32,247.79,271.52,3605,3851,"Senate hearings. I wasn't here. This is based on actual reports and documents and files from Congress. Over 100 Senate hearings, 25 consecutive days of consideration and 161 amendments from Republicans. Many of those amendments were accepted into",661c6a0c029439ce5a11faada2648ef26ebec95bdad6a5fce98e9f6b98cb6166,intellectual_rigor,primary_sources,IR01RM9N,82,40,10,I wasn't here. This is based on actual reports and documents and files from Congress.,"Flagged that she did not witness the process she was counting and attributed the counts to congressional records rather than to recollection or to a leadership summary, before giving the three figures. MECHANISM (record over recollection, stated explicitly and unprompted) plus ANCHOR (three counted figures attached to the claim). No specific document, page, table or section is named, which is what would carry it higher.",low,SPEAKER_10,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,0piLWiFyYEo,0piLWiFyYEo,pramila_jayapal_wa_07::0piLWiFyYEo,pramila_jayapal_wa_07,27,27,27,0:05:11,0:05:22,311.37,322.03,4439,4618,going to accept any amendments.  Certainly not from the Democratic side. Maybe they'll take a few amendments from the Republicans before it comes to the floor. I don't know. We'll,f50c297cfdda0510999969bc72036cd77a6f0d999e781752149ca644cdce061a,intellectual_rigor,i_dont_know_then_follow_up,IR02HYVF,83,30,10,Maybe they'll take a few amendments from the Republicans before it comes to the floor. I don't know.,"Attached 'I don't know' to a specific hole — whether pre-floor amendments would be accepted from the majority's own members — instead of asserting an answer, and said the question would have to be watched. The hole is specific rather than a gesture of humility, and no number is invented to fill it. No later checkable artifact is offered inside this recording, so the follow-up half of the sub area is not shown.",low,SPEAKER_00,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,0piLWiFyYEo,0piLWiFyYEo,pramila_jayapal_wa_07::0piLWiFyYEo,pramila_jayapal_wa_07,34,34,41,0:05:43,0:06:20,342.74,379.7,4848,5411,"away health insurance for millions of people and it will make it less affordable for  those  who still have insurance. Because it's not very different from the House bill, and we already know that that's what the House bill  does. It would raise out-of-pocket costs for middle-class families with higher deductibles and cost-sharing.  It  would essentially defund Planned Parenthood by blocking people with Medicaid coverage from  accessing preventive care at Planned Parenthood health centers for birth control, cancer screenings, and STD  treatment and testing.",40f1dbb5c5a27ef348298e80715f16fcabd29dc1bcf92fd2a47a880f8a984d44,domestic_policy,healthcare_coverage_and_who_pays,DP04E76M,34,40,40,essentially defund Planned Parenthood by blocking people with Medicaid coverage from,"Enumerated what the bill does to coverage and kept two harms apart: people losing insurance, and people who keep insurance paying more through higher deductibles and cost-sharing. Described the provider provision through the correct channel — a bar on Medicaid patients using their coverage at those clinics, not the repeal of a grant line — and named the services affected. MECHANISM stated in the right direction with the payer named; no dollar size, no statute section, and the households who pay are named only as 'middle-class families'.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,0piLWiFyYEo,0piLWiFyYEo,pramila_jayapal_wa_07::0piLWiFyYEo,pramila_jayapal_wa_07,43,43,51,0:06:21,0:07:32,380.56,451.94,5418,6583,"it would cut the essential health benefits protections. Now, what is the essential health benefits protections? A lot of Americans, we talk about that phrase, but a lot of Americans don't know exactly what that means. So here's what it means. It means that if you buy insurance, then  you can  be assured that  that insurance is going to cover certain things. It'll cover, for example,  hospitalization.  It'll cover, you know, if you get cancer, it'll cover some of your treatments that you need for cancer. Certain things that are included in that. Mental health care is part of that essential health benefits coverage.  That's what it means. Otherwise, an insurance company can sell you something and it can even say we  cover, you know, X, Y, and Z. But when you get to the hospital because you're  sick,  And  you'll find out that it doesn't actually cover hospitalization. So this was an attempt to say there's sort of an essential understanding, an essential set of things that would be covered. We will guarantee you that they'll be covered if you buy insurance. Now, I want to talk about Medicaid for a second, because this is one of the biggest travesties",b811e5614e20775deec1e09837aec7a68f4d21a3649fb657083db6a158d11303,public_speaking,clarity_on_hard_things,PS01OQH0,143,70,40,"Now, what is the essential health benefits protections? A lot of Americans, we talk about that phrase, but a lot of Americans don't know exactly what that means. So here's what it means.","Stopped on a statutory term of art, said out loud that the audience probably did not know what it meant, defined it in ordinary words, gave three concrete instances of what it covers, and then closed the loop with what its absence looks like — buying a policy that lists coverage and discovering at the hospital that hospitalisation is not covered. Ordered steps carried through to a stop, a definition offered before the argument, and a 'what it is not' a listener could repeat back. Short of the top rungs because the passage stays inside the explanation: no format, authority or number is put on the table here and no opposing account of the term is steelmanned.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,0piLWiFyYEo,0piLWiFyYEo,pramila_jayapal_wa_07::0piLWiFyYEo,pramila_jayapal_wa_07,54,54,65,0:07:39,0:08:52,459.15,532.01,6661,7639,"bill would literally decimate Medicaid. And between the Medicaid cut of over $800 billion in the health care bill in the Senate and the budget cut that's proposed of over $600 billion, let me be clear that we're talking about almost a $1.5 trillion cut to Medicaid through  these two mechanisms.  And  I wanted to talk about what Medicaid is, because a lot of people might think that Medicaid just covers poor folks, which frankly  I think  we should cover poor folks, let's be clear about that.  But I  want to tell you what Medicaid actually of all nursing home residents, it covers  30% of all adults with disabilities, it covers 39% of all kids in this country, and 60% of kids  with  disabilities.  So, if you cut half of Medicaid, which is what $1.5 trillion cut to Medicaid would include, it would be half of what we spend on Medicaid today, a program that covers 74 million Americans across this country, 38  million Americans would lose their coverage. So no wonder, as",46ab1efb2e6bd718fa26e6abeda054146fd96fc522444dea2081809f48b9f937,domestic_policy,healthcare_coverage_and_who_pays,DP04E76M,34,60,50,we're talking about almost a $1.5 trillion cut to Medicaid,"Sustained passage on Medicaid as a coverage payer: kept the health bill's reduction and the separately proposed budget reduction apart as two mechanisms before adding them, then said what the program buys — a share of nursing-home residents, 30 percent of adults with disabilities, 39 percent of children and 60 percent of children with disabilities, 74 million people covered — and gave a coverage-loss figure of 38 million. MECHANISM plus several ANCHORS plus named LOSERS. Held below the upper rungs because the coverage-loss figure is derived by halving the covered population rather than taken from a scoring table, no budget window is stated for either dollar figure, and FMAP, per-capita caps and the alternative she did not pick are never named.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
