person_key,source_kind,source_key,video_key,video_uid,politician_key,line_no,line_from,line_to,start_time,end_time,start_s,end_s,char_start,char_end,line_text,line_sha256,major_area,sub_area,criterion_code,criterion_index,score,knowledge_score,quote,rationale,confidence,speaker,contract_version,run_id,assessed_at
ro_khanna,transcription,-cfLB_32Ltk,-cfLB_32Ltk,ro_khanna::-cfLB_32Ltk,ro_khanna_ca_17,3,3,6,0:00:09,0:00:34,9.42,34.5,163,521,"with president trump's caution that was also president biden's caution i have supported every weapons package to ukraine i will continue to support that but we need to really pause before giving weapons that could go deep into russian territory and risking  escalation so  I  am actually supportive, in this case, of the president's judicious approach. Putin",c87a2dea775527bfe8af7d6d048aaff3a79bf9d3794926b30cfc6cd2bc3b292b,national_security,defense_strategy_readiness_procurement,NS044X3T,115,20,30,we need to really pause before giving weapons that could go deep into russian territory and risking,"Asked whether the US should send Tomahawks to Ukraine, separated continued weapons packages he says he has supported from a deep-strike capability he would pause on, and treated that separation as a rung on an escalation ladder rather than as a spending question; the spanned run is one answer, with the distinction stated in the first line and the position on it landed in the last. Named no owner for any rung, no readiness rate, no day-of-supply or magazine figure, and no authority. MECHANISM in plain English, applied to a live decision; ANCHOR and AUTHORITY absent. Rubric example: three named escalation rungs with an owner each; subject's instance: two rungs (sustaining packages, deep-strike) with no owner named.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-cfLB_32Ltk,-cfLB_32Ltk,ro_khanna::-cfLB_32Ltk,ro_khanna_ca_17,13,13,13,0:00:55,0:01:34,54.7,93.81,873,1521,"consistent message. We don't need Vice President Vance dressing down Zelensky in the Oval Office. I think if we have a consistent view that we're going to support Ukraine, we're going to provide them with the military assistance that we have been, and we're going to be working with Europeans to do that, that is what's going to bring success.  Putin to the negotiating table. I don't think we have to risk an escalation into a war deep into Russian territory to do that. And by the way, these Tomahawk missiles cost $2.5 billion each. I certainly am not sure that the Europeans or the Americans are going to be able to subsidize them putting aside",0b730bc6b798115359f67c736a3cac5a8c5d0e57cc3bb298c1845a9050d65db7,foreign_policy,presidential_flashpoint_desk,FP10B3JY,61,20,30,"we're going to be working with Europeans to do that, that is what's going to bring success","Put in the chair on a live flashpoint and asked what would change the other party's behaviour, answered with a coalition mechanism rather than with toughness or restraint: a consistent allied signal plus continued military assistance is what he said brings the other side to negotiate, and he named who is in (the Europeans) and named a specific incident of inconsistency he says works against it. Named no paper on this flashpoint, no reserved discretion, no veto or shared magazine, and no falsifier. MECHANISM in plain English; ANCHOR, AUTHORITY and FALSIFIER absent.",low,SPEAKER_02,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-cfLB_32Ltk,-cfLB_32Ltk,ro_khanna::-cfLB_32Ltk,ro_khanna_ca_17,13,13,13,0:00:55,0:01:34,54.7,93.81,873,1521,"consistent message. We don't need Vice President Vance dressing down Zelensky in the Oval Office. I think if we have a consistent view that we're going to support Ukraine, we're going to provide them with the military assistance that we have been, and we're going to be working with Europeans to do that, that is what's going to bring success.  Putin to the negotiating table. I don't think we have to risk an escalation into a war deep into Russian territory to do that. And by the way, these Tomahawk missiles cost $2.5 billion each. I certainly am not sure that the Europeans or the Americans are going to be able to subsidize them putting aside",0b730bc6b798115359f67c736a3cac5a8c5d0e57cc3bb298c1845a9050d65db7,intellectual_rigor,numbers_units_and_comparators,IR085YE6,89,-80,20,these Tomahawk missiles cost $2.5 billion each,"Stated a per-unit price for a live munition, with a currency unit and the word 'each', roughly three orders of magnitude above the Navy's published procurement unit cost for a Tomahawk, which is in the low single-digit millions; the figure is larger than the whole annual Tomahawk buy. Ran no order-of-magnitude check against any comparator, named no year and no table, and then made the figure the load-bearing premise of the conclusion that follows it in the same breath, that Europeans or Americans could not subsidize them. Scored at -80 rather than at the floor because the unit is used correctly and the framing is the right framing while the magnitude is backwards, which is the -80 rung, not a reversal of the instrument itself.",low,SPEAKER_02,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-cfLB_32Ltk,-cfLB_32Ltk,ro_khanna::-cfLB_32Ltk,ro_khanna_ca_17,21,21,23,0:02:06,0:02:44,125.98,164.39,2071,2639,"less concerned  about his language and more concerned about his actions. I mean, why is he ordering covert action for  regime change in Venezuela? We just had the American people vote against regime change, against the deep state. The American people do not want regime change wars. They want us focused on spending money here at home, on dealing with the rising prices  groceries and here we have a president giving 20 billion dollars to argentina and now talking about getting us into a war in venezuela while we have record inflation and housing prices going up and",96bd9ef8decc2ce446cc1eb7d1497f6dd1295cd9502baf4079570c42e6dd4422,national_security,war_powers_and_use_of_force,NS01NWZO,112,-10,30,The American people do not want regime change wars.,"Refused a use of force against a named country and gave his reason as an electoral mandate and public preference. Named no authorizing paper for the action he was objecting to, no declaration-versus-AUMF-versus-Article-II distinction, no War Powers Resolution clock, and no objective, limit or exit test that would have to be met before force. The refusal itself is not what is read here: an endorsement of the same strikes resting on 'the American people voted for strength', with the same absence of a paper and a clock, reads the same on this sub area.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-cfLB_32Ltk,-cfLB_32Ltk,ro_khanna::-cfLB_32Ltk,ro_khanna_ca_17,21,21,23,0:02:06,0:02:44,125.98,164.39,2071,2639,"less concerned  about his language and more concerned about his actions. I mean, why is he ordering covert action for  regime change in Venezuela? We just had the American people vote against regime change, against the deep state. The American people do not want regime change wars. They want us focused on spending money here at home, on dealing with the rising prices  groceries and here we have a president giving 20 billion dollars to argentina and now talking about getting us into a war in venezuela while we have record inflation and housing prices going up and",96bd9ef8decc2ce446cc1eb7d1497f6dd1295cd9502baf4079570c42e6dd4422,representation_leadership,listening_and_interview_judgment,RL03W4BR,156,30,30,about his language and more concerned about his actions,"Handed a question about the President's language and asked what he thought of it, said out loud that he was declining that frame and why, then answered on the substitute ground he had just named rather than pivoting silently or letting the interviewer supply the operative word. The refusal to answer as asked is visible and reasoned rather than missing, and the questioner keeps her standing. Did not restate the opposing case in its strongest form and did not quote back a fact she had just supplied. MECHANISM (a named reframe with its reason) present; the steelman and the informed follow-up are absent.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-cfLB_32Ltk,-cfLB_32Ltk,ro_khanna::-cfLB_32Ltk,ro_khanna_ca_17,23,23,23,0:02:13,0:02:44,133.04,164.39,2190,2639,"regime change in Venezuela? We just had the American people vote against regime change, against the deep state. The American people do not want regime change wars. They want us focused on spending money here at home, on dealing with the rising prices  groceries and here we have a president giving 20 billion dollars to argentina and now talking about getting us into a war in venezuela while we have record inflation and housing prices going up and",3e314985cc598c5ef63fb0cb1a37e1cb0a3ac7a5ca5e30972f9888fda5ebacb6,economics,fiscal_debt_public_purse,EC04HDF4,44,15,20,here we have a president giving 20 billion dollars to argentina,"Set a live federal dollar figure of the right order of magnitude against domestic spending priorities as a straight opportunity cost, which is a correct mechanism stated in plain English with an anchor attached. Named no financing path, no residual and no closer, no incidence, and no net-against-gross on either the foreign facility or the domestic spending he would prefer; described the money as 'giving' without naming the instrument or the account it came out of, which is the difference between an appropriation and a facility that is lent. MECHANISM + ANCHOR; the three closers, incidence and the seen-against-unseen are absent.",low,SPEAKER_02,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-cfLB_32Ltk,-cfLB_32Ltk,ro_khanna::-cfLB_32Ltk,ro_khanna_ca_17,23,23,23,0:02:13,0:02:44,133.04,164.39,2190,2639,"regime change in Venezuela? We just had the American people vote against regime change, against the deep state. The American people do not want regime change wars. They want us focused on spending money here at home, on dealing with the rising prices  groceries and here we have a president giving 20 billion dollars to argentina and now talking about getting us into a war in venezuela while we have record inflation and housing prices going up and",3e314985cc598c5ef63fb0cb1a37e1cb0a3ac7a5ca5e30972f9888fda5ebacb6,intellectual_rigor,numbers_units_and_comparators,IR085YE6,89,-40,10,while we have record inflation and housing prices going up,"Described the moment as 'record inflation'. That is a superlative, which is a comparator claim, and it arrived with no index, no year, no rate and nothing to compare against; the published CPI series was running near three percent against its own June 2022 peak of 9.1 percent and its 1980 peak above fourteen. The phrase may have been meant as the cumulative price level rather than as the rate, and that ambiguity is real, but it does not move this reading, because neither sense was given a base, a year or a comparator. Scored on the citing habit only; the substance of the cost-of-living claim is read separately at line 28.",low,SPEAKER_02,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-cfLB_32Ltk,-cfLB_32Ltk,ro_khanna::-cfLB_32Ltk,ro_khanna_ca_17,23,23,23,0:02:13,0:02:44,133.04,164.39,2190,2639,"regime change in Venezuela? We just had the American people vote against regime change, against the deep state. The American people do not want regime change wars. They want us focused on spending money here at home, on dealing with the rising prices  groceries and here we have a president giving 20 billion dollars to argentina and now talking about getting us into a war in venezuela while we have record inflation and housing prices going up and",3e314985cc598c5ef63fb0cb1a37e1cb0a3ac7a5ca5e30972f9888fda5ebacb6,us_gov_controlled,named_the_mechanism,UG02X6LP,165,-20,10,"We just had the American people vote against regime change, against the deep state.","Named 'the deep state' once, as an object he says an electorate voted against, and put nothing behind it: no component, no career-service or Senior-Executive-Service path, no intelligence element, no donor channel, no classification or narrative office, no statute, and no checkable override. Names the phenomenon and names no channel, no authority and no loser, which is the -20 rung. The mirror reads the same: 'there is no deep state, it is a conspiracy theory', offered with equally nothing behind it, is the same number on this sub area, and the word being a populist one is not what set it.",low,SPEAKER_02,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-cfLB_32Ltk,-cfLB_32Ltk,ro_khanna::-cfLB_32Ltk,ro_khanna_ca_17,27,27,28,0:02:55,0:03:34,174.76,214.26,2832,3505,"Certainly that's what all  the reporting looks like. I mean, they are engaged in covert actions by their own admission. It's not just strikes on these ships with potential drug cartels. I mean, they're talking about action within Venezuela. They're talking about strikes within Venezuela. When is this country going to learn after 20 years in Afghanistan, after Iraq, after Libya, after Yemen? The American people are tired of overseas wars. They're tired of our jobs going offshore. And where they want us  to focus is to spend money here at home to bring down grocery prices, to bring down housing prices, to bring down child care costs, to create jobs in America. I want",f4bd56c3ec9ef82809c8ef4b5b20508db09f035728b5f4dc9008316feb309a47,national_security,title_10_title_50_and_covert_action,NS02RGOT,113,10,30,they are engaged in covert actions by their own admission,"Asked whether this amounts to going to war, answered by naming covert action as the live category, sourcing it to the administration's own admission and to the reporting, and drawing a distinction that matters on this sub area between strikes on vessels and action and strikes inside the country's own territory. Named no legal lane for any of it: no Title 10 against Title 50, no written finding or 50 USC 3093, no prior notice, no Gang of Eight, no committee pair, and no clandestine-against-covert distinction. The oversight question is raised and the oversight machinery is not named.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-cfLB_32Ltk,-cfLB_32Ltk,ro_khanna::-cfLB_32Ltk,ro_khanna_ca_17,28,28,28,0:02:56,0:03:34,176.04,214.26,2859,3505,"the reporting looks like. I mean, they are engaged in covert actions by their own admission. It's not just strikes on these ships with potential drug cartels. I mean, they're talking about action within Venezuela. They're talking about strikes within Venezuela. When is this country going to learn after 20 years in Afghanistan, after Iraq, after Libya, after Yemen? The American people are tired of overseas wars. They're tired of our jobs going offshore. And where they want us  to focus is to spend money here at home to bring down grocery prices, to bring down housing prices, to bring down child care costs, to create jobs in America. I want",ed69b92b19c4b110093ac5a50b81c025ef7648fa140b343a9e447a9c516112c3,economics,housing_labor_cost_of_living,EC07Y0BC,47,-20,20,"to focus is to spend money here at home to bring down grocery prices, to bring down housing prices, to bring down child care costs","Named three cost-of-living prices as the thing to fix and offered federal spending as the instrument that brings them down, without naming a supply rule on housing (zoning, permits, incumbents), a demand pump (rates, the GSE bid, credits), a third-party-payment or credential channel on child care, or any path by which the spending reaches a price. Names the phenomenon and names no cause, which is the -20 rung. The direction of the prescription is not what set the number: 'cut taxes to bring grocery prices down', offered with the same absence of a channel, reads the same here.",low,SPEAKER_02,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
