person_key,source_kind,source_key,video_key,video_uid,politician_key,line_no,line_from,line_to,start_time,end_time,start_s,end_s,char_start,char_end,line_text,line_sha256,major_area,sub_area,criterion_code,criterion_index,score,knowledge_score,quote,rationale,confidence,speaker,contract_version,run_id,assessed_at
pramila_jayapal_wa_07,transcription,07FKfIs6kZ0,07FKfIs6kZ0,pramila_jayapal_wa_07::07FKfIs6kZ0,pramila_jayapal_wa_07,1,1,2,0:00:00,0:00:22,0.15,22.46,0,325,"Mr Chairman, I oppose this bill. It is remarkable to me that as gas and grocery prices go up because of this continued illegal war in Iran, as Americans pay tens of thousands  of dollars for health care because Republicans destroyed any semblance of health care with their Big Bad Betrayal Bill and cuts to the ACA subsidies,",f746ea25aab22a2434b6ff2299733470e2de4edc55e3eaa460215cde4fda35c8,domestic_policy,healthcare_coverage_and_who_pays,DP04E76M,34,20,15,"as Americans pay tens of thousands  of dollars for health care because Republicans destroyed any semblance of health care with their Big Bad Betrayal Bill and cuts to the ACA subsidies,","Named a live coverage change -- cuts to the ACA subsidies, carried in a vehicle she named by nickname -- and stated the direction of the household consequence as out-of-pocket cost in the tens of thousands. The subsidy-cut-to-household-cost channel is correct in plain English. No payer is named, the premium tax credit and its enhanced-subsidy sunset are not named, the 400 percent cliff is absent, and the figure carries no year and no household it applies to. MECHANISM present; ANCHOR only at order-of-magnitude.",medium,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,07FKfIs6kZ0,07FKfIs6kZ0,pramila_jayapal_wa_07::07FKfIs6kZ0,pramila_jayapal_wa_07,1,1,1,0:00:00,0:00:12,0.15,12.06,0,174,"Mr Chairman, I oppose this bill. It is remarkable to me that as gas and grocery prices go up because of this continued illegal war in Iran, as Americans pay tens of thousands",ee1d7a0b8462a7b693bf347b1791e2a2889447f1557a567d3d5d5c0b9258ab4d,economics,energy_oil_war_economics,EC0604K5,46,10,10,as gas and grocery prices go up because of this continued illegal war in Iran,"Attributed rising gas and grocery prices to an ongoing war, with the direction of the effect stated and the households paying it named. No step sits in the middle: no transit or supply share, no path from crude to refined fuel to the shelf, no number, no dated episode, and no alternative cause weighed. MECHANISM asserted rather than walked; the only ANCHOR is naming the conflict.",medium,SPEAKER_00,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,07FKfIs6kZ0,07FKfIs6kZ0,pramila_jayapal_wa_07::07FKfIs6kZ0,pramila_jayapal_wa_07,4,4,4,0:00:23,0:00:47,22.66,46.78,331,623,"Donald Trump enriched himself last year to the tune of 2.2 billion dollars while fleecing Americans of their hard-earned money, what are we spending time on? Once again, on targeting young trans people who make up less than one-half of one percent of the population. I would ask the majority,",2e4027e9bd5a53eca3eb2502e3d8073329d76dbc5e604950dfc79f852ac2674a,intellectual_rigor,numbers_units_and_comparators,IR085YE6,89,25,15,Donald Trump enriched himself last year to the tune of 2.2 billion dollars,"Put two quantities on the record in one line: a dollar figure with a year attached to a named individual's gain, and, in the same breath, a population share stated with its base -- young trans people as less than one-half of one percent of the population. Units and bases are present rather than a floating 'billions'. Neither figure is attributed to a filing, a table or an agency, and no comparator of known size is set beside the dollar figure. ANCHOR with a unit; source absent.",medium,SPEAKER_01,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,07FKfIs6kZ0,07FKfIs6kZ0,pramila_jayapal_wa_07::07FKfIs6kZ0,pramila_jayapal_wa_07,6,6,6,0:00:47,0:02:05,47.02,125.42,630,1802,"are you spending so much time manufacturing a culture war targeting a group of young people who make up less than one-half of one percent of the population? Is it perhaps because you want to fear-monger about them so that you distract people from the daily troubles that they have of keeping a roof over their head and paying for their health care and groceries?  Is it because you literally have no productive proposals to make life better for the American people? Is it because you want to distract attention away, once again, from the fact that ICE just killed two people in Texas and in Maine because Republicans refuse to hold them accountable and are spending $170 billion on these agencies instead of Americans' health care?  Or maybe you're trying to distract from Donald Trump refusing to sign into law the most significant bipartisan bill in a generation to invest in housing. Yes, you heard me right. It was passed into law by big bipartisan majorities in both the House and the Senate, but Donald Trump refused to sign the bill because he says affordability is a, quote, ""hoax."" Tell that to the American people who are struggling to afford rent or buy a home.",ffd26fd1a98bd04e85df4eff6cc2a3a06403193ec891bb8f4cc11469d901a16c,anti_corruption,inspector_general_and_oversight,AC074XGG,6,10,10,ICE just killed two people in Texas and in Maine because Republicans refuse to hold them accountable and are spending $170 billion on these agencies instead of Americans' health care,"Said a federal enforcement agency killed two people in two named states and that the House majority refuses to hold it accountable, with an agency funding figure attached. Two recent instances and a dollar figure are supplied. No oversight instrument is: no hearing, no committee letter, no subpoena or contempt referral, no inspector-general notice, no clock. The accountability claim is asserted rather than routed to a paper anyone could move. ANCHOR present, MECHANISM absent.",medium,SPEAKER_01,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,07FKfIs6kZ0,07FKfIs6kZ0,pramila_jayapal_wa_07::07FKfIs6kZ0,pramila_jayapal_wa_07,6,6,6,0:00:47,0:02:05,47.02,125.42,630,1802,"are you spending so much time manufacturing a culture war targeting a group of young people who make up less than one-half of one percent of the population? Is it perhaps because you want to fear-monger about them so that you distract people from the daily troubles that they have of keeping a roof over their head and paying for their health care and groceries?  Is it because you literally have no productive proposals to make life better for the American people? Is it because you want to distract attention away, once again, from the fact that ICE just killed two people in Texas and in Maine because Republicans refuse to hold them accountable and are spending $170 billion on these agencies instead of Americans' health care?  Or maybe you're trying to distract from Donald Trump refusing to sign into law the most significant bipartisan bill in a generation to invest in housing. Yes, you heard me right. It was passed into law by big bipartisan majorities in both the House and the Senate, but Donald Trump refused to sign the bill because he says affordability is a, quote, ""hoax."" Tell that to the American people who are struggling to afford rent or buy a home.",ffd26fd1a98bd04e85df4eff6cc2a3a06403193ec891bb8f4cc11469d901a16c,constitutional_governing_competence,civic_who_holds_which_power,CG01WOQO,21,15,15,"It was passed into law by big bipartisan majorities in both the House and the Senate, but Donald Trump refused to sign the bill","Sorted one live bill across two branches: passage by majorities in both chambers, then the President's signature as a separate step he declined. Bicameralism and presentment are kept apart in plain English on a named live vehicle. The same sentence calls the bill 'passed into law' by Congress while saying the President refused to sign it, and neither the veto, the two-thirds override, nor the ten-day lapse that decides which of those two descriptions holds is named. MECHANISM in plain English; no authority and no clock.",medium,SPEAKER_01,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,07FKfIs6kZ0,07FKfIs6kZ0,pramila_jayapal_wa_07::07FKfIs6kZ0,pramila_jayapal_wa_07,6,6,6,0:00:47,0:02:05,47.02,125.42,630,1802,"are you spending so much time manufacturing a culture war targeting a group of young people who make up less than one-half of one percent of the population? Is it perhaps because you want to fear-monger about them so that you distract people from the daily troubles that they have of keeping a roof over their head and paying for their health care and groceries?  Is it because you literally have no productive proposals to make life better for the American people? Is it because you want to distract attention away, once again, from the fact that ICE just killed two people in Texas and in Maine because Republicans refuse to hold them accountable and are spending $170 billion on these agencies instead of Americans' health care?  Or maybe you're trying to distract from Donald Trump refusing to sign into law the most significant bipartisan bill in a generation to invest in housing. Yes, you heard me right. It was passed into law by big bipartisan majorities in both the House and the Senate, but Donald Trump refused to sign the bill because he says affordability is a, quote, ""hoax."" Tell that to the American people who are struggling to afford rent or buy a home.",ffd26fd1a98bd04e85df4eff6cc2a3a06403193ec891bb8f4cc11469d901a16c,economics,housing_labor_cost_of_living,EC07Y0BC,47,10,15,"because he says affordability is a, quote, ""hoax."" Tell that to the American people who are struggling to afford rent or buy a home.","Put housing affordability on the table as a live legislative question -- a bipartisan housing investment bill, the signature it did not get, and renters and would-be buyers named as the people paying -- and went no further into what sets the price. No supply rule (zoning, permits, approvals), no demand channel (rates, credits, the GSE bid), no split between the two, and no statement of which of them the bill was meant to move. LOSER named; MECHANISM absent.",medium,SPEAKER_01,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,07FKfIs6kZ0,07FKfIs6kZ0,pramila_jayapal_wa_07::07FKfIs6kZ0,pramila_jayapal_wa_07,6,6,6,0:00:47,0:02:05,47.02,125.42,630,1802,"are you spending so much time manufacturing a culture war targeting a group of young people who make up less than one-half of one percent of the population? Is it perhaps because you want to fear-monger about them so that you distract people from the daily troubles that they have of keeping a roof over their head and paying for their health care and groceries?  Is it because you literally have no productive proposals to make life better for the American people? Is it because you want to distract attention away, once again, from the fact that ICE just killed two people in Texas and in Maine because Republicans refuse to hold them accountable and are spending $170 billion on these agencies instead of Americans' health care?  Or maybe you're trying to distract from Donald Trump refusing to sign into law the most significant bipartisan bill in a generation to invest in housing. Yes, you heard me right. It was passed into law by big bipartisan majorities in both the House and the Senate, but Donald Trump refused to sign the bill because he says affordability is a, quote, ""hoax."" Tell that to the American people who are struggling to afford rent or buy a home.",ffd26fd1a98bd04e85df4eff6cc2a3a06403193ec891bb8f4cc11469d901a16c,intellectual_rigor,causal_chain_and_second_order,IR09YG0X,90,-10,20,Is it perhaps because you want to fear-monger about them so that you distract people from the daily troubles that they have of keeping a roof over their head and paying for their health care and groceries?,"Advanced a causal account of the majority's agenda -- that the bill exists to raise fear about a small group and thereby move attention off rent, health care and groceries -- and named both the path and the people who lose by it. The account is put as a run of rhetorical questions with nothing offered that would distinguish it from the alternative that the stated purpose is the actual one; no confounder is named, no observation is identified that would count against it, and the claim is about motive rather than about an act. CHANNEL named; no test.",medium,SPEAKER_01,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,07FKfIs6kZ0,07FKfIs6kZ0,pramila_jayapal_wa_07::07FKfIs6kZ0,pramila_jayapal_wa_07,8,8,8,0:02:06,0:02:34,125.96,153.96,1809,2180,"me be very clear. Trans people have always and will always exist. Republicans will try to negate the urgency of gender-affirming care by cherry-picking extreme examples of people who regret care. A review of gender-affirming care for transgender youth conducted by the Utah legislature found that, quote, there is virtually no regret associated with receiving treatments.",cb2dac531465b88dad2ad3f5f828ca34d5bbe232271b10e3ef719e41d2d10f33,intellectual_rigor,primary_sources,IR01RM9N,82,45,20,"A review of gender-affirming care for transgender youth conducted by the Utah legislature found that, quote, there is virtually no regret associated with receiving treatments.","Answered an argument from anecdote by going to a document rather than to a summary: named the body that conducted the review, named its subject, and read its finding out as a marked quotation. The artifact and its author are named and the finding is quoted rather than characterised. No date, title, page or sample size accompanies it and no competing review is set beside it. Substitution: the rubric's exemplars are a CBO table or an original IG page; the subject's instance is a state legislature's own review of the treatment in dispute -- same class. ANCHOR plus the writer named.",medium,SPEAKER_01,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,07FKfIs6kZ0,07FKfIs6kZ0,pramila_jayapal_wa_07::07FKfIs6kZ0,pramila_jayapal_wa_07,8,8,8,0:02:06,0:02:34,125.96,153.96,1809,2180,"me be very clear. Trans people have always and will always exist. Republicans will try to negate the urgency of gender-affirming care by cherry-picking extreme examples of people who regret care. A review of gender-affirming care for transgender youth conducted by the Utah legislature found that, quote, there is virtually no regret associated with receiving treatments.",cb2dac531465b88dad2ad3f5f828ca34d5bbe232271b10e3ef719e41d2d10f33,intellectual_rigor,steelman,IR035XZX,84,15,10,Republicans will try to negate the urgency of gender-affirming care by cherry-picking extreme examples of people who regret care.,"Named the opposing argument by its actual content -- regret after treatment -- and answered it with a cited review rather than with a slogan. It is stated as cherry-picking rather than in its strongest form, no fact that helps the other side is granted, and the qualifier inside her own quoted finding ('virtually no regret') is not taken up. Opposing case named, not steelmanned.",medium,SPEAKER_01,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
pramila_jayapal_wa_07,transcription,07FKfIs6kZ0,07FKfIs6kZ0,pramila_jayapal_wa_07::07FKfIs6kZ0,pramila_jayapal_wa_07,8,8,14,0:02:06,0:03:45,125.96,224.76,1809,3112,"me be very clear. Trans people have always and will always exist. Republicans will try to negate the urgency of gender-affirming care by cherry-picking extreme examples of people who regret care. A review of gender-affirming care for transgender youth conducted by the Utah legislature found that, quote, there is virtually no regret associated with receiving treatments.  And  that is why nearly every major medical association recognizes the importance of gender-affirming care for young trans people and have standards in place to ensure that this care can be provided responsibly.  What is  true is that for most trans youth, care simply comes in the form of puberty-pausing medications after close consultation with youth, their parents, and their medical providers. These medications have been prescribed safely for both  non  transgender and transgender children for decades. Trans patients use them at exactly the same doses and for exactly the same outcomes as their non-transgender counterparts. Now just an hour ago, the Secretary of Forever Wars, Pete Hagseth,  said that they are going to provide hormone therapy for male service members who don't have enough testosterone. This, by the way, is gender-affirming care. And by the way, male members of this committee, watch what you vote for.",2219c7cf10270becf0d60bf482c2d308c128f544408f20b8036c56bf84a6ebd3,public_speaking,clarity_on_hard_things,PS01OQH0,143,60,50,"care simply comes in the form of puberty-pausing medications after close consultation with youth, their parents, and their medical providers","Carried one hard thing through to its end in general-audience language, in order: that the population exists, the regret objection, a quoted review finding, the professional standards, what the treatment actually consists of, who is in the room when it is decided, and a comparator group taking the same medications at the same doses -- landing on a definition a critic could repeat back before any applause line arrives. No jargon and no talking down; the steps are retellable. MECHANISM (an ordered explanation ending in a usable definition) plus ANCHOR (a quoted review finding, a same-day decision). No figure is sourced to a table and no opposing account of the treatment is carried alongside, which is what keeps it short of the top.",medium,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
