person_key,source_kind,source_key,video_key,video_uid,politician_key,line_no,line_from,line_to,start_time,end_time,start_s,end_s,char_start,char_end,line_text,line_sha256,major_area,sub_area,criterion_code,criterion_index,score,knowledge_score,quote,rationale,confidence,speaker,contract_version,run_id,assessed_at
tucker_carlson,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson::1cbw1utqzHg,tucker_carlson_us_pres,14,14,40,0:03:31,0:06:02,210.97,362.37,3452,6082,"practical terms, it's bad. In fact, it's always bad. Whenever you have somebody who stands up and says, don't do this, here's what could happen, and then you do it anyway, and it turns out that person was right, your first instinct is not to apologize and correct your behavior. Your first instinct is to crush the person who called it correctly. And  that's your  instinct because, and it's the lowest of all instincts, but it's a human instinct. That's your instinct because...  his  correct protection is an indictment of you, of course. And it's a  way to  deflect attacks on you and your own culpability by blaming the guy who  told you it was  going to happen before you did it. And this is a longstanding fact of human life. And in the last 60 years in this country, it has been the iron law  that,  of  foreign policy, which is to say, when things go wrong, the only people who get punished are the people who criticize the adventure in the first place. You can imagine General Westmoreland attacking Walter Cronkite of CBS News, whatever you think of Walter Cronkite, in my case, not much, but fundamentally, it was Walter Cronkite sitting very much on the sidelines saying, hey, this war's not going well, and there was General Westmoreland prosecuting the war, but General Westmoreland argued till the end of his life  in  some ways successfully, that he lost the war because Walter Cronkite criticized the war. Hmm, is that really true? How many troops did Walter Cronkite command? Was he in charge of strategy? Don't think so. He  was a  newsreader in New York. But  you can see why  Westmoreland did that, why a lot of people believed it, agreed, agreed with Westmoreland. You  saw the same  thing happen in the days after the tragic and ridiculous  incredibly stupid Afghan withdrawal under Joe Biden.  That didn't help  the United States. Of course, we had to get out of Afghanistan, but the way we did it, who would argue that was a good thing? It was a terrible thing and resulted in the deaths of a lot of Americans. So who was punished for that? As  far as we  can tell, and we've checked, only one person,  and that  would be Colonel Stu Scheller of the United States Marine Corps. What was his crime? Planning the withdrawal from Afghanistan? Oh, no. No, Stu Scheller's crime  was  was  saying out loud, boy, that didn't work very well, and why'd we do this? And for that, he went to jail. The people who actually did it, who gave the orders, or who carried them out without asking questions about them, which was everybody else, they're fine. You don't even know their names, and they certainly haven't been",b9896f2ccd62d112b0bd040eb8a9005b94e288db6de96c1ae3db04ee2e5b3068,intellectual_rigor,causal_chain_and_second_order,IR09YG0X,90,65,55,your first instinct is not to apologize and correct your behavior. Your first instinct is to crush the person who called it correctly.,"Stated a causal path in the right direction — a correct prediction indicts the people who made the decision, so they deflect culpability by attacking the person who made it — and followed it to a second-order effect, that silencing people who were right means the same mistakes repeat. Anchored it on two dated US episodes: Westmoreland arguing he lost Vietnam because Walter Cronkite criticised the war, and the Afghanistan withdrawal. Named the loser by name — said Colonel Stu Scheller went to jail while the people who gave and carried out the orders were not penalised. Tested the Vietnam claim instead of asserting it ('How many troops did Walter Cronkite command? Was he in charge of strategy?'). MECHANISM + ANCHOR + LOSER + a second-order path; no statute, no number, and no alternative explanation for the pattern offered.",high,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
tucker_carlson,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson::1cbw1utqzHg,tucker_carlson_us_pres,52,52,62,0:06:38,0:07:31,398.39,450.6,6735,7612,"Joe Kent was right, therefore Joe Kent must be destroyed. And there is of course this ongoing effort to do that, to dismiss Joe Kent as a tool of the Islamists or a leaker or say he's married to someone who works for Hezbollah or lie after lie after lie, but they're all aimed at Joe Kent the  man,  at  his motives, at his character, at his personality, at his wife.  And that's  by design, because none of them touch on his reason for resigning as director of the National Counterterrorism Center.  Because if  you focused on that, you would have to answer his questions. You'd have to answer, is this true? Is what Joe Kent, who possessed highest level intelligence clearances,  who was  really barred from knowing no secret in the US government since he was one of our top intelligence officials until yesterday,  Seems  like a pretty informed guy is what he's saying true?",970fd8ffb97efa478db8bdf9611d06e58cef3a82d3edf346198e9dba52d386f6,intellectual_rigor,distinctions_and_definitions,IR07BBW4,88,45,35,none of them touch on his reason for resigning as director of the National Counterterrorism Center.,"Split a bundled attack into its parts before arguing: said the charges against the guest go to his motives, character, personality and wife, that none of them touch his stated reason for resigning, and then named the question the split avoids — 'is what he's saying true?' A named split on a live fight with the hard half identified; he did not define the underlying claim itself, and offered no source for the assertion that the bundling is deliberate.",high,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
tucker_carlson,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson::1cbw1utqzHg,tucker_carlson_us_pres,76,76,80,0:08:26,0:09:12,505.74,552.14,8577,9377,"time. Donald Trump, as everybody knows, became the Republican nominee in 2016, 10 years ago, in part because he was the only Republican running for president that year out of a field of nearly 20 people who was willing to say what everyone else knew, but was afraid to say, which is the Iraq war, didn't help us.  It hurt us. It was a dumb idea and it went on way too long and it became the quagmire that people like Donald Trump predicted it would be.  And the  American public, so relieved to hear the truth about something they already knew,  made him the  Republican nominee despite maybe some concerns. But they did it because, hey, he was right and he's the only one brave enough to say so. And Donald Trump made varieties of that case for the next 10 years and in many cases specifically about",71abb611da64f000b1676768d1886d5c5dc1954f1c1401f35200145e9e6b59a3,representation_leadership,democratic_judgment_instruments,RL07V39G,160,50,35,"he was the only Republican running for president that year out of a field of nearly 20 people who was willing to say what everyone else knew, but was afraid to say, which is the Iraq war, didn't help us.","Read a named race as instruction rather than as a blank check: said Trump won the 2016 Republican nomination out of a field of nearly twenty in part by saying the Iraq war hurt the country when the rest of the field would not, and that the public rewarded exactly that. ANCHOR (a named race, a year, a field size) plus a stated issue that was on the ballot; he did not say what the race did not put on the ballot, and named no later vote or board.",high,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
tucker_carlson,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson::1cbw1utqzHg,tucker_carlson_us_pres,84,84,90,0:09:22,0:10:55,561.61,655.33,9562,10999,"States and the West and China in the East, a rising power that matches or maybe exceeds our economic power globally, and we have to figure out how to apportion power. And we don't wanna get sidetracked with engagements like, I don't know, another endless Middle Eastern war, because in the end, the only winner of that conflict  is China, is China, in this specific case. Whoever in the end settles this conflict, whether it's the United States or some other power, whoever comes in at whatever the end of it is and says, enough, this is hurting the world,  each side has made its point, but the  global economy has a critical interest in the Persian Gulf, that's energy, and we're gonna stop this now. Whoever that person  is,  will  become more powerful than ever, and everyone else will become less powerful. The person who settles disputes is in charge. Not the person who starts them, not the person who wins them, the person who stops them. When dad comes home and stops the fighting between brother and sister, who's in charge? Dad, because he stopped the conflict.  All of  which is to say, if at the end of this conflict, it's China that comes in, China which has a vested interest in what happens in the region, since they're a major consumer of Gulf energy, if it's China that comes in and restores the energy flows out of the Persian Gulf and restores some version of peace, gets the fighting to stop, then China is in charge",98335b85d9bdf8da292069d2313c7cc81e789eb62232f0e1ae44e80dd409e49f,foreign_policy,energy_and_maritime_chokes,FP07XQRW,58,35,40,"China which has a vested interest in what happens in the region, since they're a major consumer of Gulf energy","Used Gulf energy as the stake in a great-power contest: said the party that stops the conflict and restores the energy flows out of the Persian Gulf ends up in charge of it, and that China has the motive because it is a major consumer of Gulf energy. MECHANISM (the settler of a dispute gains primacy; the consumer has the incentive) with a named actor; no volume, no share, no named authorisation and no named institution, so the map has no plumbing under it.",high,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
tucker_carlson,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson::1cbw1utqzHg,tucker_carlson_us_pres,98,98,102,0:11:06,0:11:40,665.97,700.27,11135,11691,"question is, how did Donald Trump, after 10 years of saying one thing, do in the pivotal act of his presidency exactly the opposite?  That's not just  an academic question. It's not the beginning of a conspiracy theory about some shadowy  lobby.  It's the  most important question we face because this is not the first time the United States has entered into this kind of war against the wishes of its own population and in clear contravention of its own interests, against its interests. This isn't good for us. No one has made the case that it's good for",5e558bd92bc24eeb59d334df49e2315262e89eba72266deed2d60860b962424d,not_controlled_not_influenced,position_before_and_after,NC02YGNM,124,50,45,"how did Donald Trump, after 10 years of saying one thing, do in the pivotal act of his presidency exactly the opposite?","Built a before-and-after timeline out loud — ten years of a stated public position against Middle East wars, then the opposite act named as the pivotal act of the presidency — called it the most important question, and explicitly declined to close the inference: 'It's not the beginning of a conspiracy theory about some shadowy lobby.' ANCHOR (a dated ten-year span, a named live act) plus a refusal to assert the cause; no dated contribution, endorsement or committee seat placed on the timeline, and no falsifier for a claimed shift.",high,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
tucker_carlson,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson::1cbw1utqzHg,tucker_carlson_us_pres,106,106,108,0:11:47,0:12:07,707.19,727,11803,12071,"don't believe that,  then check the prices of food and fuel and everything you buy because everything you buy is dependent on the price of  energy and  the production of fertilizer, both of which are affected almost immediately by the closure of the Straits of Hormuz.",1b495c187f89a31315108d0e2d42c76bd5ed8470da4cbd3ef5a660b09b15d80b,economics,energy_oil_war_economics,EC0604K5,46,40,25,both of which are affected almost immediately by the closure of the Straits of Hormuz.,"Ran a chokepoint shock through to the household: said the price of food and fuel and of everything you buy depends on the price of energy and on the production of fertilizer, and that both are affected almost immediately by a closure of the Strait of Hormuz. MECHANISM plus LOSER (the household) with the strait named; no transit volume, no share, no price or CPI figure, and no second-order path beyond consumer prices.",high,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
tucker_carlson,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson::1cbw1utqzHg,tucker_carlson_us_pres,124,124,126,0:13:09,0:13:23,788.98,803.15,13078,13332,"they doing that? Well, there's only one reason people ever become hysterical and slanderous, start screaming at you rather than answering you, it's because they're  lying. And the  truth is, this is not the first time you've watched people in charge lie.",225401e3dd9aea2da00024f615b8b03beab72dfda326dd72b33e546162a18ccf,intellectual_rigor,causal_chain_and_second_order,IR09YG0X,90,-15,20,"there's only one reason people ever become hysterical and slanderous, start screaming at you rather than answering you","Inferred motive from behaviour and closed the set: said there is only one reason people ever become hysterical and slanderous rather than answering, which is that they are lying. He did supply a mechanism immediately afterwards — that a lie is bolstered by more lying and that fear of exposure escalates into attack — but named no alternative explanation and no confounder for the behaviour, and stated the rule as exhaustive.",high,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
tucker_carlson,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson::1cbw1utqzHg,tucker_carlson_us_pres,164,164,166,0:16:56,0:17:43,1016.3,1063.29,16426,17214,"secrets, be honest for once in decades about what is actually happening, things that everybody who lives here suspects are happening. In some cases, we're probably wrong. We've come to the wrong conclusions. That's okay. Tell us what actually happened. Tell us why you did this. And let's reorient this country  where it should be, which is around its own citizens. Make the decisions that you make based on one criterion, is this good for my people or not, in the way that a father would lead his  family, or  an officer would lead his troops. It's not complicated. Everybody wants that. That's not a partisan question. That's a human question. And that's the question Joe Kent is posing. Why can't we do this? Why can't we say this? It's not attacking anybody. Joe Kent himself does not",8eb1dfc25d41e0019b34ace80d14b01ee20cf7c1f92a61c7c14027ab83fd0c8d,we_the_citizens,what_the_award_must_measure,WC06DN5J,179,35,25,"Make the decisions that you make based on one criterion, is this good for my people or not","Stated the operative test in a form a record could answer: decide on one criterion, is this good for my people or not, and reorient the country around its own citizens. Paired it with a demand to air the secrets and say what actually happened, and with a concession that 'in some cases, we're probably wrong.' One principal named; the competing principal the test would be run against is not named in this passage, and no specific act is put through the test.",high,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
tucker_carlson,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson::1cbw1utqzHg,tucker_carlson_us_pres,198,198,200,0:20:10,0:20:45,1210.31,1244.62,19430,20086,"May I ask you to pause? And so I've heard people say that, and this just happened, but history has a way of getting rewritten in real time, and then you look back 10 or 15, 20, 25 years  later.  and no  one seems to understand the things that you saw because they've been eliminated. So I think it's important to stop and say, here's what we actually know. So I'd like now, if we could, just to play one of the statements that you alluded to, and that's from Marco Rubio, the Secretary of State, and this was shortly after this war commenced, and he was explaining, as is his habit, in a thoughtful, precise way, why. Here's Secretary of State Marco Rubio.",8295390cc14fb4ad74fad6abe141567160b8e6b325c13183e92e241e46879867,intellectual_rigor,primary_sources,IR01RM9N,82,55,40,"So I think it's important to stop and say, here's what we actually know. So I'd like now, if we could, just to play one of the statements that you alluded to, and that's from Marco Rubio, the Secretary of State","Refused the recap and went to the artifact: said history gets rewritten in real time, stopped the interview to establish what is actually on the record, and played the Secretary of State's own recorded statement rather than paraphrasing it or relying on the guest's summary. MECHANISM (open the original, not the interested summary) plus ANCHOR (a named official, a dated public statement, played in full); no transcript, page or filing cited beyond the clip itself.",high,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
tucker_carlson,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson::1cbw1utqzHg,tucker_carlson_us_pres,204,204,204,0:21:06,0:21:35,1265.63,1294.63,20532,20990,"that is his...  almost contemporaneous explanation and it's not offhand. He reasons it out, he explains there's a logic chain there and he says, we knew not that Iran was going to attack. He did not say that. He said we knew that Israel was going to attack Iran and in retaliation for those attacks by Israel against Iran, Iran might attack American forces. So the imminent threat that the Secretary of State is describing is not from Iran, it's from Israel.",e916b09d932afc940146b82020128f7c0683528f8c428e8911b49dea10506df0,intellectual_rigor,distinctions_and_definitions,IR07BBW4,88,45,35,"he says, we knew not that Iran was going to attack. He did not say that. He said we knew that Israel was going to attack Iran","Parsed the statement he had just played, clause by clause: said the Secretary did not claim Iran was going to attack, but that Israel was going to attack and Iran might then retaliate against American forces. A real distinction drawn straight off the artifact. The closing sentence — that the imminent threat described 'is not from Iran, it's from Israel' — overstates it, because the quoted statement did place the projected attack on American forces with Iran and only the trigger with Israel. ANCHOR plus a correct split, with one imprecision in the conclusion.",high,SPEAKER_00,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
