person_key,source_kind,source_key,video_key,video_uid,politician_key,line_no,line_from,line_to,start_time,end_time,start_s,end_s,char_start,char_end,line_text,line_sha256,major_area,sub_area,criterion_code,criterion_index,score,knowledge_score,quote,rationale,confidence,speaker,contract_version,run_id,assessed_at
ro_khanna,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna::-1fOSKIzRp0,ro_khanna_ca_17,6,6,13,0:00:58,0:01:25,57.68,84.52,1118,1536,"It's still  ongoing negotiations. I don't want to give a specific  number, but I will say that the House progressives recognize that there will be significant cuts, that many of these  programs aren't going to be 10 years, and that we have to compromise. And the reality is we  We have to have a plan  that Senator  Sinema, Senator  Manchin can sign on to  because it takes 51 votes in the Senate. That reality is very",b3fca80889b878e9a26db4d50f37d9716bddbe89d27aef3560c3d6aa535c94fa,constitutional_governing_competence,legislative_how_bills_actually_move,CG02O8IX,22,45,40,because it takes 51 votes in the Senate.,"Asked to accept a topline, answered with the floor constraint instead: said the package must be one two named senators can sign on to 'because it takes 51 votes in the Senate', and derived the consequences from it out loud - 'significant cuts' and programs that 'aren't going to be 10 years'. States the correct chamber threshold, names the right authority (the two decisive senators, not leadership or the House), and runs the mechanism in the right direction from the vote count to the size and the duration of the bill. Did not name the instrument that makes the number 51 rather than 60 - reconciliation, the Byrd rule, the vote-a-rama - and gave no dollar figure or date, which is what holds this short of the rung that applies the mechanism with a number and the full authority. MECHANISM + ANCHOR (the 51-vote count and two named senators). Routed here rather than to governance_constitutional_law/legislative_process because that sub area hands floor-operating competence to this one; he is counting a live whip problem, not stating doctrine.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna::-1fOSKIzRp0,ro_khanna_ca_17,6,6,13,0:00:58,0:01:25,57.68,84.52,1118,1536,"It's still  ongoing negotiations. I don't want to give a specific  number, but I will say that the House progressives recognize that there will be significant cuts, that many of these  programs aren't going to be 10 years, and that we have to compromise. And the reality is we  We have to have a plan  that Senator  Sinema, Senator  Manchin can sign on to  because it takes 51 votes in the Senate. That reality is very",b3fca80889b878e9a26db4d50f37d9716bddbe89d27aef3560c3d6aa535c94fa,intellectual_rigor,i_dont_know_then_follow_up,IR02HYVF,83,30,15,"I don't want to give a specific  number, but I will say","Handed a specific range by the host and asked to accept it, refused to supply a figure and named why - the negotiation is still open - then answered the question's substance directly instead of improvising a number. A refused invention under direct pressure, with the reason stated rather than a pivot. Did not name what would settle the figure, did not name a missing document or date, and did not promise or deliver a follow-up, so this sits well short of the rung that names the hole and later fills it.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna::-1fOSKIzRp0,ro_khanna_ca_17,19,19,19,0:01:41,0:02:16,100.83,135.95,1833,2487,"on? One of the red lines is climate.  But on paid family leave, I don't think four weeks is enough. I think anyone who knows someone who has been pregnant will tell you that four weeks isn't enough. So we're pushing back to say, let's have something more realistic, even if we have to have less years. For the child tax credit, what is most important is that we don't means test that beyond the American Rescue Plan. But the big issue for progressives is climate change.  We need to make sure that we have 50 percent production by 2030. That's the president's goal. That's his commitment. We have to send it to Glasgow with a plan that will achieve that,",5404c7863e76f1800b10011e7937ea6923351f9e3a8bfb735239c65fcd51ab65,representation_leadership,coalition_vs_abandonment,RL04BEZ3,157,50,55,"So we're pushing back to say, let's have something more realistic, even if we have to have less years. For the child tax credit, what is most important is that we don't means test that beyond the American Rescue Plan. But the big issue for progressives is climate change.","Asked for red lines, named one ('One of the red lines is climate') and then separated what he would trade from what he would not on the same live bill: said he would accept fewer years in exchange for a benefit level he called realistic, named the one parameter he would hold on the child tax credit - no means test beyond the American Rescue Plan's - and named the climate target he would not trade. A named floor, a named trade, and a named parameter anchored to an enacted statute, on a bill in front of him. No stated kill condition beyond the word 'red line', no loser named on either branch of the trade, and no falsifier. MECHANISM + ANCHOR (a named statute's existing parameter as the benchmark). Stance not scored: the same structure from a member trading in the other direction would read the same.",low,SPEAKER_02,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna::-1fOSKIzRp0,ro_khanna_ca_17,25,25,26,0:02:31,0:03:01,150.98,181.26,2773,3334,"say it's a dead set because I have a tremendous amount of respect for Richard Corris. You know, he's the product of public housing. So this is deeply personal for him. His concern is that we don't have a single Republican vote. What happens if the Democrats aren't in charge? I do believe that once we have the program, there will be so much popular support for it that Republicans will find it hard.  to repeal. But I understand his concern. I mean, he is right to say that it could be for longer, but we're in a situation where we have to get  51 Senate vote.",e21410b5f8a60c2e47c43fe5ac731e3e9b49e171e82f05cdf55e5f0d96fb0b2f,intellectual_rigor,steelman,IR035XZX,84,70,40,His concern is that we don't have a single Republican vote. What happens if the Democrats aren't in charge?,"Handed a colleague's attack on his own side's bill and asked to agree with it, restated that colleague's case in the colleague's own terms - no Republican votes, and what happens when the majority changes - then granted the best fact in it out loud ('he is right to say that it could be for longer'), then stated specifically why he still disagreed: once the program exists, popular support raises the cost of repeal. Closed by naming the constraint that forced the short duration in the first place, 'we're in a situation where we have to get 51 Senate vote'. Opposing case in the critic's words, best fact granted, remaining disagreement specific, no caricature - and the critic is inside his own coalition, which is the hardest version of this. Held short of the ceiling because no falsifier and no number were offered. MECHANISM + the granted fact + the connection to a second constraint.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna::-1fOSKIzRp0,ro_khanna_ca_17,30,30,30,0:03:09,0:03:41,189.41,221.24,3494,4092,"not just my goal. I think that's the president's approach. If you look at what's in this bill, it has every American is going to get preschool. That's a big deal. We're going to have child care for every family. You're going to have this child allowance for working class and middle class families. Seniors are going to get dental, hearing, vision, and we're going to have massive investments in  climate and renewable energy and new jobs. So there's a lot of good things in the bill, which is why progressives are willing to compromise, because we want these investments for the working class. But",62a5821f27f11371d4c868c624ef1668895b8a2434366462ab557dfd8cdfb373,intellectual_rigor,primary_sources,IR01RM9N,82,-10,25,"If you look at what's in this bill, it has every American is going to get preschool. That's a big deal. We're going to have child care for every family.","Invited the listener to look at the bill and then produced a list of program titles as its contents - preschool for every American, child care for every family, a child allowance, dental, hearing and vision - with no section, no dollar figure, no eligibility rule and no duration attached to any of them, and closed on 'there's a lot of good things in the bill'. The universal framing also drops the qualifier he had himself stated two answers earlier, that the durations were being cut and the programs 'aren't going to be 10 years'. Pointing at the bill rather than at a leadership memo is the reason this is not lower; a title-level recitation offered as the artifact's content is the reason it is below zero.",low,SPEAKER_02,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna::-1fOSKIzRp0,ro_khanna_ca_17,33,33,35,0:03:46,0:04:10,225.6,250.09,4167,4573,"tell you why. I've  been skeptical in the past, but this time I saw the president is so deeply engaged. He is committed to this. He wants this done. He was going through line item by line item, the numbers. He is committed to getting the two whole  down senators on board,  and he's committed to hearing our concerns and striking a compromise. And I have confidence in him, given how engaged he now is. But",75676235263cde06e1a49eae57acbda158ec13ad207dccef0f113a5e0ca018ee,intellectual_rigor,falsifier,IR04CEZX,85,25,15,"been skeptical in the past, but this time I saw the president is so deeply engaged.","Volunteered a prior position, a later position and the thing that moved him between them: said he had been skeptical, said he now has confidence 'given how engaged he now is', and named the observation that moved him - the president working the package 'line item by line item, the numbers' and working two holdout senators. An update stated as an update rather than as a clarification, with a named mover. The mover is his own account of a closed meeting, which no listener can check, and he named no condition that would move him back, so this stays near the bottom half.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna::-1fOSKIzRp0,ro_khanna_ca_17,38,38,40,0:04:16,0:04:53,256.08,293.2,4696,5358,"Well, first, I  don't think that the Republicans will take it over if we pass this. And we have to pass this if we want to have  a good chance at the election. But if they do take over, the history shows that they often don't repeal things that Democrats put in. We put in Social Security. We put in Medicare. They're often opposed to that. We put in the Affordable Care Act. They were opposed to it. But then they find it's very hard to repeal.  because people actually like these programs. I acknowledge it's a gamble. It's better to have it for the long term. But our hope is that once you plant the idea, the principle, that they will be very hard to repeal.",e4cfb9089c80635d2667ad37ff27c37abf869820fe8de39ae40f91986bb45e98,constitutional_governing_competence,policy_analysis_options_second_order,CG08WNWA,28,55,35,the history shows that they often don't repeal things that Democrats put in. We put in Social Security. We put in Medicare.,"Asked whether funding programs for short windows is dangerous if the majority changes, named the next actor and the failure mode directly - a Republican majority repealing them - and answered with a stated channel: an enacted program builds popular support that raises the political cost of repeal, illustrated with three named US statutes each opposed at enactment and each not repealed after. Named the option he did not take and conceded it was better ('It's better to have it for the long term'), and named the risk in his own words ('I acknowledge it's a gamble'). Did not name the vehicle or the pen for a later extension, and gave no number. MECHANISM + ANCHOR + the alternative steelmanned; the anchor is three named statutes rather than a figure, which the rung's anchor class allows.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna::-1fOSKIzRp0,ro_khanna_ca_17,38,38,40,0:04:16,0:04:53,256.08,293.2,4696,5358,"Well, first, I  don't think that the Republicans will take it over if we pass this. And we have to pass this if we want to have  a good chance at the election. But if they do take over, the history shows that they often don't repeal things that Democrats put in. We put in Social Security. We put in Medicare. They're often opposed to that. We put in the Affordable Care Act. They were opposed to it. But then they find it's very hard to repeal.  because people actually like these programs. I acknowledge it's a gamble. It's better to have it for the long term. But our hope is that once you plant the idea, the principle, that they will be very hard to repeal.",e4cfb9089c80635d2667ad37ff27c37abf869820fe8de39ae40f91986bb45e98,intellectual_rigor,pressure_without_slogans,IR059Y00,86,45,30,I acknowledge it's a gamble. It's better to have it for the long term.,"Pushed on the weakest point of his own position - that a short-window program can die when the majority changes - he answered the question that was asked rather than a nearby one, did not invent a figure, and conceded the point against himself out loud instead of reaching for an applause line. Stayed specific under the push by naming three enacted statutes rather than a slogan. Second row on this span because the sub area asks a different question of it than the governing-options row does: that one reads the option set, this one reads whether the reasoning held when it was leaned on. Held below the top because the push was mild and short, and because at the earlier cornering question he accepted the frame and then answered with a list of the bill's contents rather than with the extension mechanism the question was about.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna::-1fOSKIzRp0,ro_khanna_ca_17,47,47,47,0:05:13,0:05:44,312.76,344.03,5705,6278,"we're exploring that. First, I believe we need to guarantee high-paying good jobs in West Virginia. Let's say 100,000 of those jobs should be in West Virginia because those communities have been hard hit. Binding families have been hard hit. They don't want a handout. They want real proof of the jobs, and we should do that. But we're looking at things like state block grants and incentives for states to hit a renewable goal, things that are flexible that hopefully Senator Manchin also will see is in the interests of the planet, our country, and his state. Congressman",5049ecde0bdc0cafe224a62c49f36b994029faeac507e154b8ac736e106e8d65,constitutional_governing_competence,implementation_and_administrative_capacity,CG07V63G,27,40,30,"we're looking at things like state block grants and incentives for states to hit a renewable goal, things that are flexible that hopefully Senator Manchin also will see is in the interests of the planet, our country, and his state.","Asked whether there is any climate design both wings could accept, sorted the program onto a specific delivery instrument rather than a goal: a block grant to states plus an incentive conditioned on the state reaching a renewable target, and gave the reason for that instrument choice - it is flexible, so it is reachable for a holdout senator whose state carries the cost. Names a condition-on-a-grant rather than a federal direction to states, and names the named senator whose signature the design is built for. Did not name the administering agency, a match rate, a dollar figure, a clock, or what would fail on the Monday after passage, which is what holds this at the middle of the ladder. MECHANISM + the reason for the instrument. Routed here rather than to energy mix, whose trigger requires a mechanism about cost or reliability that this passage does not reach.",low,SPEAKER_02,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
ro_khanna,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna::-1fOSKIzRp0,ro_khanna_ca_17,47,47,47,0:05:13,0:05:44,312.76,344.03,5705,6278,"we're exploring that. First, I believe we need to guarantee high-paying good jobs in West Virginia. Let's say 100,000 of those jobs should be in West Virginia because those communities have been hard hit. Binding families have been hard hit. They don't want a handout. They want real proof of the jobs, and we should do that. But we're looking at things like state block grants and incentives for states to hit a renewable goal, things that are flexible that hopefully Senator Manchin also will see is in the interests of the planet, our country, and his state. Congressman",5049ecde0bdc0cafe224a62c49f36b994029faeac507e154b8ac736e106e8d65,intellectual_rigor,numbers_units_and_comparators,IR085YE6,89,-20,15,"Let's say 100,000 of those jobs should be in West Virginia because those communities have been hard hit.","Put a quantity on the table introduced by 'Let's say' - a round jobs figure with no period, no source, no comparator against the state's current employment in the affected industry or its labour force, and no statement of whether it is a target, a projection or an illustration - and then leaned on it as the answer to a constituency that 'want real proof of the jobs'. The hedge is honest signalling and is why this is not at the floor; a figure entering the transcript with no base and no source, doing the work of proof, is why it is below zero. The same reading applies to a round figure floated in the other direction.",low,SPEAKER_02,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
