person_key,letter,source_kind,source_key,video_key,politician_key,line_no,line_from,line_to,start_time,end_time,start_s,end_s,char_start,char_end,line_text,line_sha256,score,criterion_code,criterion_key,criterion_index,direction,quote,rationale,confidence,speaker,contract_version,run_id,assessed_at
tucker_carlson,a,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson_us_pres,40,40,40,0:05:46,0:06:02,346.93,362.37,5761,6082,"saying out loud, boy, that didn't work very well, and why'd we do this? And for that, he went to jail. The people who actually did it, who gave the orders, or who carried them out without asking questions about them, which was everybody else, they're fine. You don't even know their names, and they certainly haven't been",8847b533a35e5a35c0930636dacc55d63123321547c252e0a43cb0eff6cd0104,5,A7kQm2Zx,power_above_the_elected,0,toward,"The people who actually did it, who gave the orders, or who carried them out without asking questions about them, which was everybody else, they're fine. You don't even know their names","Says the people who ordered and carried out the Afghan withdrawal went unpunished and unnamed while the one man who criticised it out loud went to jail. Names an unaccountable decision-making class and anchors it to one named instance; no channel and no remedy, so it sits in the middle of the band.",high,SPEAKER_00,1.0,grp_a_20260905T2336Z_4286,2026-09-05T23:36:00.000Z
tucker_carlson,a,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson_us_pres,98,98,98,0:11:05,0:11:16,665.97,676.19,11135,11266,"question is, how did Donald Trump, after 10 years of saying one thing, do in the pivotal act of his presidency exactly the opposite",774c7276b727b4fedee1bd6f0f81ef28c926293034d3830e034fbeb4a2744428,6,A2Hs6LxN,officials_answer_elsewhere,3,toward,"how did Donald Trump, after 10 years of saying one thing, do in the pivotal act of his presidency exactly the opposite","Puts a named officeholder's reversal on a named decision as the question the source exists to answer, anchored to ten years of stated position. The reversal and the instance are present; no channel and no remedy in this line, so it does not reach the +8 band.",high,SPEAKER_00,1.0,grp_a_20260905T2336Z_4286,2026-09-05T23:36:00.000Z
tucker_carlson,a,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson_us_pres,102,102,102,0:11:23,0:11:40,683.75,700.27,11392,11691,"most important question we face because this is not the first time the United States has entered into this kind of war against the wishes of its own population and in clear contravention of its own interests, against its interests. This isn't good for us. No one has made the case that it's good for",2d07d7bb88f0b90ca2b2603c2f753cbc7836c1954e48aff3cc47897a097ff099,6,A7kQm2Zx,power_above_the_elected,0,toward,this is not the first time the United States has entered into this kind of war against the wishes of its own population and in clear contravention of its own interests,"Asserts the country has repeatedly been taken into war against its own population's wishes and against its own interests, which is a claim about who is deciding rather than a complaint about outcomes. The anchor is the repetition; no actor and no channel are named in this line.",high,SPEAKER_00,1.0,grp_a_20260905T2336Z_4286,2026-09-05T23:36:00.000Z
tucker_carlson,a,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson_us_pres,136,136,136,0:14:18,0:14:30,858.06,870.52,14084,14213,"only way out of this is to stop lying, is to tell the truth now, probably 63 years after we should have started telling the truth",a3a74eef9492d8e6dfce15327407c788f306b8bce2d17919a90c3364b0ce1590,6,AzT4bW9q,demands_it_be_fixed,2,toward,"only way out of this is to stop lying, is to tell the truth now, probably 63 years after we should have started telling the truth","States a remedy - official truth-telling - and dates the start of the concealment at 63 years, which is an anchor rather than a lament. Remedy plus anchor; no mechanism and no actor named here.",high,SPEAKER_00,1.0,grp_a_20260905T2336Z_4286,2026-09-05T23:36:00.000Z
tucker_carlson,a,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson_us_pres,164,164,164,0:16:56,0:17:26,1016.3,1046.62,16426,16923,"secrets, be honest for once in decades about what is actually happening, things that everybody who lives here suspects are happening. In some cases, we're probably wrong. We've come to the wrong conclusions. That's okay. Tell us what actually happened. Tell us why you did this. And let's reorient this country where it should be, which is around its own citizens. Make the decisions that you make based on one criterion, is this good for my people or not, in the way that a father would lead his",90fa629fa6426a310b64660fba00189649f84867abdc3030d03bc373593ad757,6,AcL7xF4s,falsifier_offered,9,toward,"In some cases, we're probably wrong. We've come to the wrong conclusions. That's okay. Tell us what actually happened.","Concedes that his own side's conclusions may be wrong and offers disclosure as the test that would settle it. The falsifier class is explicit; it appears alongside the remedy on the same line rather than standing alone, which is where the band sits.",high,SPEAKER_00,1.0,grp_a_20260905T2336Z_4286,2026-09-05T23:36:00.000Z
tucker_carlson,a,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson_us_pres,164,164,164,0:16:56,0:17:26,1016.3,1046.62,16426,16923,"secrets, be honest for once in decades about what is actually happening, things that everybody who lives here suspects are happening. In some cases, we're probably wrong. We've come to the wrong conclusions. That's okay. Tell us what actually happened. Tell us why you did this. And let's reorient this country where it should be, which is around its own citizens. Make the decisions that you make based on one criterion, is this good for my people or not, in the way that a father would lead his",90fa629fa6426a310b64660fba00189649f84867abdc3030d03bc373593ad757,7,AzT4bW9q,demands_it_be_fixed,2,toward,"let's reorient this country where it should be, which is around its own citizens. Make the decisions that you make based on one criterion, is this good for my people or not","Asserts a fix and states it as a decision rule: government choices judged by whether they are good for the country's own citizens. Remedy plus a named loser class; no channel and no actor, which holds it below the +8 band.",high,SPEAKER_00,1.0,grp_a_20260905T2336Z_4286,2026-09-05T23:36:00.000Z
tucker_carlson,a,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson_us_pres,310,310,310,0:43:43,0:43:49,2623.78,2629.26,45437,45569,Israeli government talking points laundered through Fox News and the Wall Street Journal. Is that the ecosystem you're talking about,68cf64ccc0eb872a35ba03e3c28b0239d6bb6e308f5c1eb82eedf5c7ac0356f1,6,Ap3Vn8Rd,capture_channel_named,1,toward,Israeli government talking points laundered through Fox News and the Wall Street Journal,States a causal path with the middle step present: a foreign government's talking points carried through two named US outlets into the domestic argument. Mechanism plus two named anchors; no cost and no remedy in this line.,high,SPEAKER_00,1.0,grp_a_20260905T2336Z_4286,2026-09-05T23:36:00.000Z
tucker_carlson,a,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson_us_pres,318,318,318,0:45:09,0:45:31,2709.49,2731.04,46968,47322,"without encouraging you to do that, it's, yeah, I think it's a commonplace, it's understood in Washington. I've heard from many people who work in your business that a substantial portion of our information touches Israel at some point. Either it's collected by them, it is shaped by them. It's not purely American. Is that a fair, do you think it's fair",df63aa3882f5baa9d22d0a2daa01d3469c103c9c106059e9fca80282c31f3dd6,5,AuP2gV6k,foreign_capture_named_as_problem,10,toward,"a substantial portion of our information touches Israel at some point. Either it's collected by them, it is shaped by them. It's not purely American.","Says a substantial share of US intelligence product is collected or shaped by a foreign state. Foreign purchase on a US function is asserted plainly; the corrective half is carried by the surrounding passage rather than this line, so it sits at the honest middle.",high,SPEAKER_00,1.0,grp_a_20260905T2336Z_4286,2026-09-05T23:36:00.000Z
tucker_carlson,a,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson_us_pres,435,435,435,1:05:50,1:06:10,3950.71,3970.02,69067,69398,"like you control both sides. You advocate for a war, which inevitably stokes religious hatred because you advocate for the killing of a religious leader. So you're helping to create religious war, permanent generational religious war. And then when your country, or the country you happen to be living in that you don't really care",ff92e18e7b9a929cfaf04d905f90f31c43ca3de05674f00046ed241ad4543389,7,A7kQm2Zx,power_above_the_elected,0,toward,"like you control both sides. You advocate for a war, which inevitably stokes religious hatred because you advocate for the killing of a religious leader. So you're helping to create religious war, permanent generational religious war.","Claims a set of war advocates control both sides of the argument, and states the causal path from advocating the killing of a religious leader to a permanent religious war. Mechanism plus a named actor class; no remedy, and the cost is named on the following line rather than this one.",high,SPEAKER_00,1.0,grp_a_20260905T2336Z_4286,2026-09-05T23:36:00.000Z
tucker_carlson,a,transcription,1cbw1utqzHg,1cbw1utqzHg,tucker_carlson_us_pres,456,456,456,1:08:46,1:08:57,4126.96,4137.99,72240,72440,"you've explained how the echo chamber and the lobbying campaign worked. It wasn't just on Fox and the Wall Street Journal. It was by telephone and text message. It was in person, and it was relentless",5fca50dc68b5f4a3416a83162947b05c5e232c01300bf39bf72e19fba01fe2c3,5,Ap3Vn8Rd,capture_channel_named,1,toward,"It wasn't just on Fox and the Wall Street Journal. It was by telephone and text message. It was in person, and it was relentless","Describes the lobbying channel that reached the decision - named outlets plus sustained direct personal contact. One class solidly present and no cost or remedy; he is elaborating on the guest's account in his own words, which is why confidence is medium.",medium,SPEAKER_00,1.0,grp_a_20260905T2336Z_4286,2026-09-05T23:36:00.000Z
