person_key,source_kind,source_key,video_key,video_uid,politician_key,line_no,line_from,line_to,start_time,end_time,start_s,end_s,char_start,char_end,line_text,line_sha256,major_area,sub_area,criterion_code,criterion_index,score,knowledge_score,quote,rationale,confidence,speaker,contract_version,run_id,assessed_at
casey_putsch,transcription,-FIeJrWQb6w,-FIeJrWQb6w,casey_putsch::-FIeJrWQb6w,casey_putsch_oh_gov,20,20,23,0:03:24,0:04:24,203.99,264.06,3439,4600,"fast and exciting and visceral and colorful and mean, then it's making your loins burn, okay? And it's exciting to drive. Like an F40 is a badass visceral machine, okay? My Dodge Viper, badass visceral machine. But...  An F40 is worth a heck of a lot more and a Viper is not worth that much money. So why? You know, production numbers come into play with some things. But the truth of the matter is, rarity doesn't have that much to do with the value of a car. You know, I think they made, what, 30 Ferrari 250 GTOs? Oh, big deal. I've owned race cars and things where there were less of them than that. It's  not about rarity so much. The other thing that drives me nuts I just have to throw out there is all the muscle car guys like, well, if you add up all the different combinations of this here car, the engine spec, the funny houndstooth,  upholstery on the interior this color that color and this year they only made seven like this I'm like big deal dude they made 30,000  of  that car that year like that's not rare I can just get another one and dude it up like that to match it so that's not real rare but when people get an interesting car they want",79c72ffca17aad85a215db52387def77d9888aa000a6602f4fe233530498c349,intellectual_rigor,distinctions_and_definitions,IR07BBW4,88,40,30,that's not rare I can just get another one and dude it up like that to match it so that's not real rare,"Took apart a scarcity claim before arguing about it: said counting option-and-trim permutations (""they only made seven like this"") is not rarity, because the variant is reproducible from the 30,000 built that year, and separately said rarity itself does not drive value, giving 30 Ferrari 250 GTOs as a counterexample against race cars he says he owned that were built in smaller numbers and are worth less. Named the mis-sort and said why it fails. MECHANISM (reproducibility defeats the scarcity claim) + ANCHOR (30 GTOs, 30,000 of the muscle car that year) + a split of the bundled rarity-equals-value question. Rubric example: a multi-year outlay treated as this year's spending; subject's instance: a build-sheet permutation count treated as model rarity. Held short of the higher rungs because no contested term is defined for a critic's use, the claim is never pressed, and no authority or filing is in play.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
casey_putsch,transcription,-FIeJrWQb6w,-FIeJrWQb6w,casey_putsch::-FIeJrWQb6w,casey_putsch_oh_gov,36,36,42,0:05:17,0:06:02,316.71,361.59,5504,6350,"saying this but it's true racial things come  into play  If the people with money that decide car is worth a bunch of money and those clubs and such decide that a car is liked by a demographic of people that they thumb the nose down at, then they're not going to like it. If a car seems kind of like Southern or Redneck, or in their opinion, it's not going to be  worth as much, which I think is what frankly hurts Corvette C4s.  Which is stupid, because that is the ultimate best deal in the sports car world, period. Corvette C4s. But you have to get  over yourself.  Because people look at it and go, well, it's just gray-haired old balding men in a boring club, or it's rednecks. And, you know, both of those have a certain amount of truth to them, but are just mean and derogatory, and we need  to get  over it, because those are great cars.",3abe50c8a51e846bd4783a315663a3a388a6b0f965bdacb54f2c27075e882311,public_speaking,difficult_topics_without_inflammatory_collapse,PS04BKYU,146,30,25,"both of those have a certain amount of truth to them, but are just mean and derogatory","Flagged that he was about to say something risky (""don't hate me for saying this but it's true""), then named race and class as inputs to what a car is worth, said the mechanism runs through ""the people with money"" and the clubs thumbing their nose at a demographic, applied it to a named case (Corvette C4s), repeated the two derogatory labels used against those owners, granted that both carry ""a certain amount of truth"", called them mean and derogatory anyway, and closed on a holdable sentence — get over it, those are great cars. Named the hard thing, added a distinction that changes something, left the people in the sentence as people, and committed. Rubric example: a live US contested matter; subject's instance: demographic snobbery as a price input in a collector market. Held at 30 because the word ""racial"" is asserted and then immediately replaced by ""Southern or Redneck"", so the sharpest part of the naming is never carried anywhere, and there is no room, no clock and no own-side pressure in this recording.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
casey_putsch,transcription,-FIeJrWQb6w,-FIeJrWQb6w,casey_putsch::-FIeJrWQb6w,casey_putsch_oh_gov,80,80,87,0:09:33,0:10:48,572.67,647.64,9987,11280,"most amazing case study for me as a kid because my baby boomer parents and all baby boomers, and I'm not knocking them, I'm just using that generation, all were slanted by the media to despise that car and think it's a junk lemon. When in fact, that's not true remotely.  whatsoever I got a buddy it's got like 250,000 miles on one I have daily driven two DeLoreans through all four seasons in Ohio snow everything I love the car I would daily drive one any day of the year  great car but the baby boomers ruined it and they all think it's junk and the people like what's a junk car you ask them you ever driven one  no and  it's all missed so back then was a great learning lesson for me when I wanted to learn about the car and find out if they were any good because I thought I wanted to own one as a kid  and  And  then I realized everything my parents thought they  knew about it was wrong. And it was influenced by the media back then. So that's a perfect example of how stupid things can ruin the value of a car for so long. But for us car guys, it's a perfect opportunity for us to have great fun. So let's look for some cars. So I got my computer out, obviously, like people do late in the evening. And as you can see, I am on Facebook. Because right now, I think Facebook Marketplace",49bf232bd9de6fdfd7e3ca8c100b3bac65f295eb4af09f1fd54a6f0ad62c2872,anti_corruption,ngo_and_legacy_media,AC06DXW3,5,35,30,"all were slanted by the media to despise that car and think it's a junk lemon. When in fact, that's not true remotely.","Said a media verdict was absorbed by a whole generation as settled fact and was wrong, named the channel (""it was influenced by the media back then""), named the population that carried it (his parents and baby boomers, with an explicit ""I'm not knocking them""), named the test nobody had run — asks the person calling it a junk car whether they have ever driven one — and put his own primary evidence against the claim, a buddy's car at 250,000 miles and two of them daily driven through Ohio winters. Treated the newsroom as a claimant rather than a court and went to the object. MECHANISM (a claim absorbed and repeated without a test, persisting for decades) + ANCHOR (a named product, a mileage figure, his own dated ownership) + LOSER (the car's value ""ruined… for so long""). Rubric example: a news story on a public-affairs question treated as settled fact; subject's instance: press coverage of a consumer product. Held at 35 because the instance is a product reputation rather than a public-affairs claim, no outlet is named, no writer's interest is identified, and the same demand is never shown applied to a source he likes.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
casey_putsch,transcription,-FIeJrWQb6w,-FIeJrWQb6w,casey_putsch::-FIeJrWQb6w,casey_putsch_oh_gov,135,135,137,0:17:17,0:17:45,1036.94,1065.04,18489,18993,"car to beat on, it's not a burnout car. In fact, 944s,  if they have the original clutch,  When you test drive it, find out if it has a lot of driveling lash. When you accelerate and then slow down, does it  lag and then buck? Does it do that? That's a sign that the clutch is blown out because instead of having springs like a normal clutch in the middle, it's rubber.  So if you do like I did and be a nice guy and teach your ex-dumb girlfriend to drive stick shift in it, she'll ruin the clutch. It'll",eaca8d92b13fa9a721cddf22eda91550f51f736350d27b04334379be19377201,public_speaking,clarity_on_hard_things,PS01OQH0,143,50,40,"That's a sign that the clutch is blown out because instead of having springs like a normal clutch in the middle, it's rubber.","Carried one technical thing through to a stop in ordered steps a lay listener could repeat back: named the test to run (drive it and watch for driveline lash), named the observable (accelerate, then slow, does it lag and then buck), named what the observable means (the clutch centre is gone), and named why this particular car does that (a rubber centre where a normal clutch has springs). Symptom, test, diagnosis and underlying cause, in plain words, with no jargon left unexplained and one claim per sentence. MECHANISM stated in the right direction + ANCHOR (a named model, a named component, a named procedure). Rubric example: a hard public argument ordered to a stop for a general audience; subject's instance: a drivetrain fault explained for a buyer. Held at 50 rather than higher because nothing here is contested, nobody pushes back, and no definition has to survive a critic; the recording returns to the same plain-explanation habit on the engine architecture and on the cylinder coating, which is what the knowledge number reflects.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
casey_putsch,transcription,-FIeJrWQb6w,-FIeJrWQb6w,casey_putsch::-FIeJrWQb6w,casey_putsch_oh_gov,159,159,165,0:20:02,0:20:47,1202.13,1247.14,21846,22654,"right. Now, the trouble with 944s are now these Porsche geeks are in horrible dealerships,  both small and large, are trying to inflate the prices of them. Because they're like, we need another Porsche to inflate the prices of like all these other Porsches. Let's ruin the 944 for everybody.  So that's what they're trying to do. You can still buy nice 944s  for $4,000 to $6,000 or $7,000 all the time. But it's harder and you got to look. If you go on eBay, all the prices there  are inflated. People want like $8,000, $10,000, $12,000, $15,000. And it's just like, get over yourself. And you also see a listing  of a  number of dealerships.  And it's like, get a new job. All you're doing is  inflating all the prices of cars and ruining it for car guys everywhere. I hate that. Let's see what else we got",f51d2b57cdb2c074a28b4f82254066b2ac4f0f5a565c20219d1852f55eed03ba,intellectual_rigor,causal_chain_and_second_order,IR09YG0X,90,-15,20,we need another Porsche to inflate the prices of like all these other Porsches. Let's ruin the 944 for everybody.,"Explained rising asking prices by attributing a shared intent to dealers, small and large, plus a motive — protecting the value of other Porsches — and named a loser (""ruining it for car guys everywhere""), but supplied no path from a posted asking price to a price anybody actually pays, named no confounder, and in the next breath said nice examples of the same car still sell for $4,000 to $7,000 and that the inflated numbers are what you see on eBay listings. An intent attribution standing where the price mechanism should be, and contradicted a line later by the transaction prices he himself reports. Scored below zero for the missing channel and the unreconciled contradiction, not for the target: the identical reading would follow if the same sentence named collectors, clubs or private sellers instead of dealers.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
casey_putsch,transcription,-FIeJrWQb6w,-FIeJrWQb6w,casey_putsch::-FIeJrWQb6w,casey_putsch_oh_gov,244,244,248,0:30:02,0:30:30,1802.34,1830.1,32618,33160,"light. Yeah, you know, it's 3, 200 bucks. You know, someday these goobers are gonna like lose their mind, like, I need a 90s M3, let's make it worth too much money. I don't know, maybe not, I hope they don't.  I just like real people to be able to afford stuff because we're not making more money Why  are these cars all worth too much money because people are getting loans. That's the problem  One of the  problems. There's lots of problems.  I'm an old man, and I'm gonna say old man things and rant things cost more Back in my day. I used",f83b221fc84d696c312ee05646c379e52cc5d1b5340518096a1b90e42f84c0a0,economics,money_printing_and_purchasing_power,EC01H79N,41,25,15,because people are getting loans. That's the problem,"Answered his own question about why prices are too high by naming credit — people are getting loans — as the channel, set it beside flat nominal incomes (""real people to be able to afford stuff because we're not making more money"") and against a general rise in prices (""things cost more back in my day, I used to buy things cheaper""), and named who is squeezed. Then refused to leave it monocausal: ""One of the problems. There's lots of problems."" A correct credit-to-price channel stated in plain English with a named loser and an explicit refusal of a single-cause story. MECHANISM + LOSER, no anchor. Rubric example: a stated channel from new money or new bank credit to a price and to a wage; subject's instance: consumer financing on used cars. Held at 25 because there is no number, no dated episode, no institution, no authority, nothing on why credit expanded, and no separation of the credit channel from any other inflation channel.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
casey_putsch,transcription,-ZOvpUpWQdo,-ZOvpUpWQdo,casey_putsch::-ZOvpUpWQdo,casey_putsch_oh_gov,33,33,33,0:04:49,0:05:13,288.99,313.08,5449,5981,"store or just out and about wherever it is, shopping, going to post office, something like that. And I asked her, do you ever get any compliments, people thumbs up and whatnot? And she actually said no.  I usually have guys glaring at me when I get out. I'm like, are you sure about that? Like you're just thinking that 'cause you're kind of self-conscious 'cause you're driving a flashy car now? And she's like, no, they just kind of glare at me. And I'm like, all right. So I sort of paid attention to that. And she didn't mention",4c2ecd69af5f5b172ee12a247cd5e4928947795f838bff90f29a54e658380b31,intellectual_rigor,i_dont_know_then_follow_up,IR02HYVF,83,32,30,"I'm like, are you sure about that? Like you're just thinking that 'cause you're kind of self-conscious 'cause you're driving a flashy car now? And she's like, no, they just kind of glare at me. And I'm like, all right. So I sort of paid attention to that.","Was told something he had no evidence for, said out loud that he did not know whether it was true, named the specific hole (whether strangers actually compliment her car), offered the competing explanation that it was her own self-consciousness rather than improvising a confident answer, and then said he went and observed to fill the hole. MECHANISM (named the missing fact and the alternative explanation before answering) + FALSIFIER (stated the reading that would have made the report wrong). Short of the next rung because the follow-up he describes is his own recollection over one weekend, with no count, no date and nothing a later reader could check. Rubric example: a named missing cell or section later filled from an artifact; subject's instance: a claim from one person tested by going and watching for it.",low,SPEAKER_01,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
casey_putsch,transcription,-ZOvpUpWQdo,-ZOvpUpWQdo,casey_putsch::-ZOvpUpWQdo,casey_putsch_oh_gov,62,62,63,0:08:11,0:08:55,490.76,534.66,9497,10139,"even when I was deflecting it, like, here you go, this person standing right here, this is her car, I'm going to go away now. They didn't even, like, not once direct the compliment to her or, like, try to give her a thumbs up. They just kept it at me or kept going with it. And...  That was so bizarre to me because it's not  my car, but it kind of dawned on me afterward, it's because I'm a guy. Cars and sports cars, exotic cars, motorcycles, etc. are classically a male-dominated world. That's very much a male thing to do. Let's be honest, this channel right now is a 97.5% sausage fest. Yes, or at least that's what the demographics say.",e6d662b883618c674078b2d67f215aaf3785162f2cf81ad7b54d366cb95e507f,intellectual_rigor,causal_chain_and_second_order,IR09YG0X,90,45,50,"They didn't even, like, not once direct the compliment to her or, like, try to give her a thumbs up. They just kept it at me or kept going with it. And...  That was so bizarre to me because it's not  my car, but it kind of dawned on me afterward, it's because I'm a guy. Cars and sports cars, exotic cars, motorcycles, etc. are classically a male-dominated world.","Named a channel rather than a vibe for a pattern he had just described, named the loser of it plainly (his wife, who owns and worked on the car and received none of the compliments), and — the strongest part — reported that he had tried to defeat the obvious alternative explanation himself, saying he explicitly deflected each compliment to her and that the behaviour continued anyway. MECHANISM + LOSER + a stated attempt at a control. Held below the next rung because the channel never goes below 'classically male-dominated', no count of the instances is given, and he does not carry the second available confounder — that he is the recognisable person at a car event, which he raised earlier — into the hotel and dealership cases where nobody knew him. Rubric example: a named path from act to effect with a confounder named on a live claim; subject's instance: a weekend of repeated compliments and one deflection test.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
casey_putsch,transcription,-ZOvpUpWQdo,-ZOvpUpWQdo,casey_putsch::-ZOvpUpWQdo,casey_putsch_oh_gov,63,63,67,0:08:28,0:09:22,508.02,561.81,9823,10677,"my car, but it kind of dawned on me afterward, it's because I'm a guy. Cars and sports cars, exotic cars, motorcycles, etc. are classically a male-dominated world. That's very much a male thing to do. Let's be honest, this channel right now is a 97.5% sausage fest. Yes, or at least that's what the demographics say.  And  that's just natural. That's kind of the way the car world is. I mean,  it's kind of like engineering. Look, if you want to pick up chicks in college, don't go into mechanical engineering, okay? Go into like nursing or veterinarian school or something. You know what I mean? Like there's things that men like  and there's things that women classically like. And we live in a funny time where, you know, like we don't want to admit that, but also we live in a funny time because we're also very entrenched in that and it's weird. But",e29556bbc307c57cb6a4da28bed52b11b4bb326af12703ac15a38582ecb10814,public_speaking,clarity_on_hard_things,PS01OQH0,143,40,50,"Let's be honest, this channel right now is a 97.5% sausage fest. Yes, or at least that's what the demographics say.","Carried one observation through in ordered steps a general listener could retell — the pattern, then the proposed reason, then a figure — and put a number on the table with its source named and his own confidence in it hedged in the same breath rather than asserted flat. ANCHOR (a keepable number with a stated source) + MECHANISM (steps in order, in plain words, with no jargon and no talking down). Held here rather than higher because the chain then breaks off into an aside about college majors that carries none of the argument, and nothing in the passage is pinned to a date or an authority. Scored on the plumbing of the explanation only; whether the explanation is correct is not this sub area's question.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
casey_putsch,transcription,-ZOvpUpWQdo,-ZOvpUpWQdo,casey_putsch::-ZOvpUpWQdo,casey_putsch_oh_gov,70,70,76,0:09:24,0:10:38,563.67,637.54,10707,11828,"it's kind of important, and this is like Casey's public service announcement for dudes in the car world. Be nice to girls in car world, duh. If you've got like this kind of funny feeling because a woman has a car that you like or admire  and want,  don't immediately interpersonally hate on her or not want to engage that person in conversation about the car or not feel okay with paying a compliment to that person  because  what  you're thinking may not be true it's cool if women are into cars and I think we need to as men be a little less standoffish or prideful or having prejudice like you know like literally pride and prejudice of the cars world  I think  we need to be a little more open and just cognizant of that, the fact that we're ingrained with this male-dominated thing. So just be cool. And yeah, you can judge for yourself, whether they're car people or not or whatever. But at least give that person the credit of potentially being a true car enthusiast and like it, and maybe somebody that you would enjoy engaging in conversation with. And I think that's just going to be more welcoming and more fun",6f628fc277958306f87b6496df8e92643747efd8bd98f26d0a8cef4f1e5232ce,public_speaking,difficult_topics_without_inflammatory_collapse,PS04BKYU,146,55,60,"this is like Casey's public service announcement for dudes in the car world. Be nice to girls in car world, duh.","Put a contested matter on the table in the harder room — his own audience, which he had just described as almost entirely male — named it in words a critic of him could use ('prejudice', 'we're ingrained with this male-dominated thing') without a euphemism and without a slur aimed at anyone, added a distinction that changes something rather than stopping at 'it's complicated' ('you can judge for yourself, whether they're car people or not... But at least give that person the credit of potentially being a true car enthusiast'), and ended on a single committing sentence he could be held to. MECHANISM (named the hard thing, then a distinction, then a holdable commitment) + LOSER (the people addressed are his own listeners, and the ask costs them something) + own-side room. Rubric example: a hard charge said in the speaker's own coalition's room rather than performed for the other tribe; subject's instance: a direct ask of his own channel's audience. Held below the top because nothing in the passage is anchored to a date, a format or an authority, and no opposing case is stated in its own terms.",low,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
