person_key,source_kind,source_key,video_key,video_uid,politician_key,line_no,line_from,line_to,start_time,end_time,start_s,end_s,char_start,char_end,line_text,line_sha256,major_area,sub_area,criterion_code,criterion_index,score,knowledge_score,quote,rationale,confidence,speaker,contract_version,run_id,assessed_at
kari_lake_us_pres,transcription,05TFP7Ns0YQ,05TFP7Ns0YQ,kari_lake_us_pres::05TFP7Ns0YQ,kari_lake_us_pres,3,3,3,0:00:04,0:01:22,3.91,81.92,73,1305,"we just witnessed from Joe Biden was a state of confusion. To the everyday hardworking Americans that just heard that speech, I'm sure you feel gaslit and lied to. The country Joe was talking about looks nothing like the reality that we all have been forced to face under his failed leadership. Skyrocketing inflation, unaffordable housing, crime running rampant, and a world that's on fire.  Despite what Joe Biden says, the State of the Union is weak and the American dream is on life support. It wasn't that long ago that President Donald J. Trump was in the Oval Office and we the people got to experience peace and prosperity. Under President Trump, we had a historic economy. We had law and order. We had a secure border and we were energy independent and the world was at peace.  America was safe and secure and prosperous under President Trump. But in just three short years, all of that safety and security and prosperity has been destroyed. Since Joe Biden took office, overall prices are up nearly 18%. It cost our families $12,000 more per year just to maintain the same quality of life that we had under President Trump. I don't know many people who got a $12,000 raise. Americans are struggling in Joe Biden's economy.",08a749300f564c7274595ba971ee3505b6b00aa535a127ba632aa1db39e6bdf6,economics,money_printing_and_purchasing_power,EC01H79N,41,10,30,"Since Joe Biden took office, overall prices are up nearly 18%. It cost our families $12,000 more per year just to maintain the same quality of life that we had under President Trump. I don't know many people who got a $12,000 raise.","Named the price level with a figure and a stated window, put a household dollar cost beside it, and set nominal wages against it - the real-wage point is made in plain English and the loser is named as ordinary families. Named no channel at all: no money supply, no balance sheet, no fiscal residual, no supply shock, no expectations, and no Fed, Treasury or Congress. The cause offered is a named officeholder rather than a mechanism. ANCHOR + LOSER present; MECHANISM, AUTHORITY and FALSIFIER absent, which is why this sits just above 'named the topic and stopped' and well short of the plain-English-mechanism rung.",medium,SPEAKER_00,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,05TFP7Ns0YQ,05TFP7Ns0YQ,kari_lake_us_pres::05TFP7Ns0YQ,kari_lake_us_pres,3,3,3,0:00:04,0:01:22,3.91,81.92,73,1305,"we just witnessed from Joe Biden was a state of confusion. To the everyday hardworking Americans that just heard that speech, I'm sure you feel gaslit and lied to. The country Joe was talking about looks nothing like the reality that we all have been forced to face under his failed leadership. Skyrocketing inflation, unaffordable housing, crime running rampant, and a world that's on fire.  Despite what Joe Biden says, the State of the Union is weak and the American dream is on life support. It wasn't that long ago that President Donald J. Trump was in the Oval Office and we the people got to experience peace and prosperity. Under President Trump, we had a historic economy. We had law and order. We had a secure border and we were energy independent and the world was at peace.  America was safe and secure and prosperous under President Trump. But in just three short years, all of that safety and security and prosperity has been destroyed. Since Joe Biden took office, overall prices are up nearly 18%. It cost our families $12,000 more per year just to maintain the same quality of life that we had under President Trump. I don't know many people who got a $12,000 raise. Americans are struggling in Joe Biden's economy.",08a749300f564c7274595ba971ee3505b6b00aa535a127ba632aa1db39e6bdf6,economics,housing_labor_cost_of_living,EC07Y0BC,47,0,10,unaffordable housing,"Named housing affordability as one item in a four-item list of grievances and went no further anywhere on the tape: no supply rule (zoning, permits, incumbents), no demand pump (rates, GSEs, credits), no metro, no rent or price figure, no incidence split between renters and owners. This is the 0 rung - the topic was named and abandoned - and it is recorded as a row rather than a silence because she did go near it.",medium,SPEAKER_00,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,05TFP7Ns0YQ,05TFP7Ns0YQ,kari_lake_us_pres::05TFP7Ns0YQ,kari_lake_us_pres,3,3,3,0:00:04,0:01:22,3.91,81.92,73,1305,"we just witnessed from Joe Biden was a state of confusion. To the everyday hardworking Americans that just heard that speech, I'm sure you feel gaslit and lied to. The country Joe was talking about looks nothing like the reality that we all have been forced to face under his failed leadership. Skyrocketing inflation, unaffordable housing, crime running rampant, and a world that's on fire.  Despite what Joe Biden says, the State of the Union is weak and the American dream is on life support. It wasn't that long ago that President Donald J. Trump was in the Oval Office and we the people got to experience peace and prosperity. Under President Trump, we had a historic economy. We had law and order. We had a secure border and we were energy independent and the world was at peace.  America was safe and secure and prosperous under President Trump. But in just three short years, all of that safety and security and prosperity has been destroyed. Since Joe Biden took office, overall prices are up nearly 18%. It cost our families $12,000 more per year just to maintain the same quality of life that we had under President Trump. I don't know many people who got a $12,000 raise. Americans are struggling in Joe Biden's economy.",08a749300f564c7274595ba971ee3505b6b00aa535a127ba632aa1db39e6bdf6,intellectual_rigor,numbers_units_and_comparators,IR085YE6,89,30,40,"overall prices are up nearly 18%. It cost our families $12,000 more per year just to maintain the same quality of life that we had under President Trump","Gave a percentage with its base period stated ('since Joe Biden took office'), a dollar figure with a unit and a period ('more per year'), and then ran an order-of-magnitude check against a comparator a listener already holds - a $12,000 raise. Three of the five looks this sub area asks for are present and correctly done. Named no source for any figure here or anywhere else on the tape: no BLS, no CPI series, no table, no publication, so a listener cannot go and check a single number. ANCHOR + comparator present; the cited-table look is absent throughout.",medium,SPEAKER_00,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,05TFP7Ns0YQ,05TFP7Ns0YQ,kari_lake_us_pres::05TFP7Ns0YQ,kari_lake_us_pres,5,5,5,0:01:23,0:02:22,82.96,142.48,1312,2254,"many, the American dream is out of reach. For others, like Laken Riley, the American dream has been completely snuffed out. American sons and daughters are being slaughtered at the hands of criminal illegal aliens who've broken into our country. Laken's life matters, but you won't hear that from the propagandists in the mainstream media. I refuse to sit idly by and allow the fake news to downplay the tragic death of Laken, a motivated nursing student.  taken from this world far too soon at the hands of a crazed man from Venezuela who should have never been in our country to begin with. Lakin's name must be shouted from the rooftops. We must hold the Democrats in Washington, D.C. accountable. Action must be taken immediately to prevent more lives from being taken from us.  My own daughter, Ruby, is just about Lakin's age. As a young mother, I would have never dreamt that my Ruby would one day live in a world where she couldn't go",2e054af8ce15b6a33c6e46749f4cf5d8da0b6c6c6f2bd8011b295dbb7b646950,anti_corruption,ngo_and_legacy_media,AC06DXW3,5,-45,30,you won't hear that from the propagandists in the mainstream media,"Described the press as a class using two faction passwords - 'the propagandists in the mainstream media' and 'the fake news' - as the whole account of why a story is covered as it is. Asked for no document, named no outlet, no funder, no correction and no primary source she would go to instead, and offered no test that could come out either way. The underlying complaint is concrete and checkable (coverage of one named case), which keeps this off the floor, but moral language about a class stands where the channel should be. This is the same reading the rubric gives 'this is just corporate greed' - a password applied to a real observable.",medium,SPEAKER_00,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,05TFP7Ns0YQ,05TFP7Ns0YQ,kari_lake_us_pres::05TFP7Ns0YQ,kari_lake_us_pres,5,5,5,0:01:23,0:02:22,82.96,142.48,1312,2254,"many, the American dream is out of reach. For others, like Laken Riley, the American dream has been completely snuffed out. American sons and daughters are being slaughtered at the hands of criminal illegal aliens who've broken into our country. Laken's life matters, but you won't hear that from the propagandists in the mainstream media. I refuse to sit idly by and allow the fake news to downplay the tragic death of Laken, a motivated nursing student.  taken from this world far too soon at the hands of a crazed man from Venezuela who should have never been in our country to begin with. Lakin's name must be shouted from the rooftops. We must hold the Democrats in Washington, D.C. accountable. Action must be taken immediately to prevent more lives from being taken from us.  My own daughter, Ruby, is just about Lakin's age. As a young mother, I would have never dreamt that my Ruby would one day live in a world where she couldn't go",2e054af8ce15b6a33c6e46749f4cf5d8da0b6c6c6f2bd8011b295dbb7b646950,public_speaking,difficult_topics_without_inflammatory_collapse,PS04BKYU,146,5,40,American sons and daughters are being slaughtered at the hands of criminal illegal aliens who've broken into our country.,"Put a contested matter on the table without euphemism and anchored it to one named case rather than an abstraction, and closed on a committing sentence she could be held to ('Action must be taken immediately'). Against that: the hard charge lands on a class of people and then on a party ('the Democrats in Washington, D.C.') rather than on a vote, a bill or a named act, and the frame ('slaughtered', 'a crazed man from Venezuela') is heat rather than a naming a critic could reuse. Delivery only is scored here; the truth of the claim is not.",medium,SPEAKER_00,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,05TFP7Ns0YQ,05TFP7Ns0YQ,kari_lake_us_pres::05TFP7Ns0YQ,kari_lake_us_pres,10,10,11,0:02:43,0:02:55,163.34,174.52,2575,2755,I had  the opportunity to cover the state of Arizona for about 27 years as a fair and honest journalist. I've never seen our southern border more secure than it was under President,6e111a25210aadd0739484f5119c6d2bc818ab860e380126f921d35fe0c91bb7,great_life_experience,outside_the_political_class,GX08LRLT,79,25,20,I had  the opportunity to cover the state of Arizona for about 27 years as a fair and honest journalist.,"Gave a duration in years, a geography, and named the career as media rather than dressing it as a business - which is the specific fudge this sub area exists to catch, and she did not make it. Named no filing, no employer record, no first-Form-2 date, no share of adult years, and no residual outside media, and the self-description 'fair and honest' is a characterization rather than a record. ANCHOR (a counted span of years, named correctly as media) present; the verification instrument the sub area asks for is absent. Cited across the sidecar label change that splits 'I had' from the rest of her own sentence.",medium,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,05TFP7Ns0YQ,05TFP7Ns0YQ,kari_lake_us_pres::05TFP7Ns0YQ,kari_lake_us_pres,14,14,15,0:03:04,0:03:44,183.88,223.85,2910,3479,"Biden came  into office and used 96 executive orders to rip that border wide open in his first 100 days. And since then, Joe Biden has allowed about 9 million illegal immigrants to enter our country. He spent millions of dollars in government handouts to give to illegal aliens, and he's organized  covert secret flights to import them into our interior of our country, all while the American people struggle. Far from being commander in chief, Joe Biden has earned the reputation as the greatest facilitator of the largest human trafficking operation in world history.",f4055da43c773a22b8799fc2be143aec130bc73b156781fd33974362ba44af21,policy_wonk,immigration_border_operations,PW014J8E,133,25,60,"Biden came  into office and used 96 executive orders to rip that border wide open in his first 100 days. And since then, Joe Biden has allowed about 9 million illegal immigrants to enter our country.","Named an instrument class that actually exists at this desk - executive orders - counted them, gave the window in which they were signed, and put the right pen behind them, then attached a magnitude figure. Named no statute or section anywhere: no 235 expedited removal, no Title 8 against Title 42, no 212(f) proclamation, no contiguous-territory return, no 287(g), no ICE-bed rider, and no specific order. The nine-million figure is stated as people 'allowed to enter' without saying whether it counts encounters, entries, releases or removals - the very categories this sub area is about. MECHANISM thin, ANCHOR and AUTHORITY present, LOSER named only as 'the American people'. Cited across the label change that splits the sentence's subject from its verb.",medium,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,05TFP7Ns0YQ,05TFP7Ns0YQ,kari_lake_us_pres::05TFP7Ns0YQ,kari_lake_us_pres,16,16,17,0:03:44,0:04:02,223.86,241.85,3481,3755,"He's  handed operational control of our southern border to the narco-terrorist cartels, thereby allowing for the uninterrupted flow of military-age fighting men into our country and the unmitigated trafficking of women, children, guns, and dangerous drugs across our border.",6a95a5949a47faf652f43579ebc85848bcfc6773f99a4dacc886739cd7de4a0e,foreign_policy,western_hemisphere_and_near_abroad,FP09K9TV,60,-10,20,"He's  handed operational control of our southern border to the narco-terrorist cartels, thereby allowing for the uninterrupted flow of military-age fighting men into our country and the unmitigated trafficking of women, children, guns, and dangerous drugs across our border.","Named cartels as the operator of a cross-border channel and named the classes of goods and people moving on it. Kept precursor, synthesis and distribution as one undifferentiated node, named no bilateral or US paper, no designation, no enforcement instrument and no dollar or volume, and asserted 'operational control' of a US border as a completed fact with nothing behind it. The claim runs ahead of any instrument, which is why this sits below the rung where the topic is merely named. Cited across the label change that splits the actor from the verb.",medium,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,05TFP7Ns0YQ,05TFP7Ns0YQ,kari_lake_us_pres::05TFP7Ns0YQ,kari_lake_us_pres,21,21,22,0:04:11,0:04:26,250.58,265.69,3886,4128,"only does President Trump have a solution, he is the solution. Only by restoring President Trump's border policies, rescinding Biden's executive orders, and finishing the wall can we return to the safety we enjoyed under President  Trump. But",a8d7ebdf9922efa7c4618decb57ac597f4cc748291d86e1ac2575b0b39f812bb,policy_wonk,presidential_desk_and_waivers,PW10QBUK,142,15,20,"restoring President Trump's border policies, rescinding Biden's executive orders, and finishing the wall","Answered the what-would-you-do question with one instrument that is real and correctly matched to its pen - rescinding executive orders, which is a thing a President can in fact do to another President's orders - alongside two policy goals. Named no second desk and no Senate, no statute, no waiver, no 212(f), and no appropriations rider, although the wall she names is an appropriations question. A single-lever answer where the sub area asks for a menu, but the lever named is the right kind of object: MECHANISM in plain English, no number and no second authority. Cited to the end of her sentence, across the label change before 'Trump'.",medium,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
kari_lake_us_pres,transcription,05TFP7Ns0YQ,05TFP7Ns0YQ,kari_lake_us_pres::05TFP7Ns0YQ,kari_lake_us_pres,23,23,25,0:04:26,0:06:00,265.72,360.01,4130,5524,"Joe Biden's failures don't stop there. Caving to the wishes of the radical climate activists Joe Biden declared war on domestic energy production?  Since  Biden entered office, home heating oil prices up 44%, gasoline prices up 33%, and electricity and natural gas, they're both up nearly 30%. Because of Joe Biden and the Democrats, America is now dependent on foreign countries to supply natural resources and energy that we have right here at home. President Trump's foreign policy of peace through strength maintained global order.  Now our enemies take a look at Biden and all they see is a feeble, weak man. President Trump brought historic peace to the Middle East with the Abraham Accords. We moved the U.S. Embassy to Jerusalem and brought foreign nations together. Now, under Biden, the Middle East is on fire and the entire globe is on the brink of World War III. President Trump defused a nuclear North Korea and held communist China accountable.  Putin didn't dare enter Ukraine under the 45th president's watch. Now, under Joe Biden and the Democrats, everything has gone to hell in a handbasket. Biden facilitated one of the most disastrous military operations in U.S. history by recklessly pulling out of Afghanistan. He left allies behind to be slaughtered by the Taliban and billions of dollars worth of weapons to be resources to be used to stoke terror throughout the world.",e4c22f6ef4411250c650e0808ce2693fae9844c349d7bf55402fa6164aa50827,domestic_policy,energy_mix_cost_and_reliability,DP099P6D,39,10,30,"Joe Biden declared war on domestic energy production?  Since  Biden entered office, home heating oil prices up 44%, gasoline prices up 33%, and electricity and natural gas, they're both up nearly 30%.","Put four retail energy prices on the table with correct units and a stated base period, which is a real anchor set and the household bill this sub area is about. Stated the causal direction - a policy posture toward domestic production, then the prices - but the cause is a characterization ('declared war on domestic energy production'), with no lease sale, no permit, no pipeline, no rule and no agency named: no FERC, EPA, DOE or NRC, and nothing separating a crude price from a crack spread, a fuel spec, a capacity payment or a reserve margin. ANCHOR present four times over; MECHANISM and AUTHORITY absent, so the numbers rest on a single-cause account of a multi-input price. Spanned because the argument is one argument and the sidecar tore it in three: the causal clause, the word 'Since', and the figures each landed on a different line.",medium,,1.0,v2all_20260905T2343Z_5598,2026-09-05T23:43:11.652Z
