person_key,letter,source_kind,source_key,video_key,politician_key,line_no,line_from,line_to,start_time,end_time,start_s,end_s,char_start,char_end,line_text,line_sha256,score,criterion_code,criterion_key,criterion_index,direction,quote,rationale,confidence,speaker,contract_version,run_id,assessed_at
ro_khanna,n,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna_ca_17,3,3,3,0:00:23,0:00:44,23.27,44.52,490,840,"Lindsey, we have to meet that timeline. The president spoke about the need for him to go to Glasgow with some deliverables. American leadership is at stake. Our leadership on climate is at stake. He looked at each of us in the eye and he said, ""I need this."" He appealed to our patriotism. I believe the House will deliver and the Senate will deliver",257cff31802faa629e9d325e931d36501659777f1f929ca2a5ca4080e602aa0c,-6,Npa9Fh4p,named_policy_advocacy,13,away,we have to meet that timeline. The president spoke about the need for him to go to Glasgow with some deliverables,"Prescribes a fate for a clearly identified pending instrument: the reconciliation package must be agreed on the president's pre-Glasgow timeline. Named policy advocacy on a specific measure, not a description of it, which is the standard band for this criterion; held at -6 rather than lower because the passage states urgency and a deadline without going provision by provision.",high,SPEAKER_02,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:07.000Z
ro_khanna,n,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna_ca_17,19,19,19,0:01:40,0:02:15,100.83,135.95,1833,2486,"on? One of the red lines is climate. But on paid family leave, I don't think four weeks is enough. I think anyone who knows someone who has been pregnant will tell you that four weeks isn't enough. So we're pushing back to say, let's have something more realistic, even if we have to have less years. For the child tax credit, what is most important is that we don't means test that beyond the American Rescue Plan. But the big issue for progressives is climate change. We need to make sure that we have 50 percent production by 2030. That's the president's goal. That's his commitment. We have to send it to Glasgow with a plan that will achieve that",835ad84b4ca07a399a8712cfa2984c2a0e8e522f71b08c0f675eb2472eba62c4,-7,Npa9Fh4p,named_policy_advocacy,13,away,"For the child tax credit, what is most important is that we don't means test that beyond the American Rescue Plan","Prescribes the content of a pending bill provision by provision - a climate red line, a longer paid family leave than four weeks, no means test on the child tax credit beyond a named enacted statute, and a 50 percent production target for 2030. The densest named-instrument prescription in the source, which is why it sits a band above the other advocacy rows.",high,SPEAKER_02,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:07.000Z
ro_khanna,n,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna_ca_17,25,25,25,0:02:30,0:02:59,150.98,179.95,2773,3317,"say it's a dead set because I have a tremendous amount of respect for Richard Corris. You know, he's the product of public housing. So this is deeply personal for him. His concern is that we don't have a single Republican vote. What happens if the Democrats aren't in charge? I do believe that once we have the program, there will be so much popular support for it that Republicans will find it hard. to repeal. But I understand his concern. I mean, he is right to say that it could be for longer, but we're in a situation where we have to get",cd165767ea442c5a5d4e4c90f263556fbfb4b052871b9e18bea5ddf00005b20e,-5,Nap2Qx7n,sustained_political_argument,12,away,"once we have the program, there will be so much popular support for it that Republicans will find it hard","Argues at length with a named colleague's stated objection about a one-year child tax credit, engaging party vote counts and what happens to the program if control of Congress changes. Sustained argument about public affairs, returned to across the interview; the standard band for this criterion.",high,SPEAKER_02,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:07.000Z
ro_khanna,n,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna_ca_17,30,30,30,0:03:09,0:03:41,189.41,221.24,3494,4092,"not just my goal. I think that's the president's approach. If you look at what's in this bill, it has every American is going to get preschool. That's a big deal. We're going to have child care for every family. You're going to have this child allowance for working class and middle class families. Seniors are going to get dental, hearing, vision, and we're going to have massive investments in climate and renewable energy and new jobs. So there's a lot of good things in the bill, which is why progressives are willing to compromise, because we want these investments for the working class. But",280b9d7c5f2abc3ccad00b7c0d9edb092a432b7201b672958e0ce07f7169f6d4,-3,Npi7Gv5s,partisan_identity_declaration,16,away,"which is why progressives are willing to compromise, because we want these investments for the working class","Speaks as a member of a named legislative faction, placing himself inside it with ""we"" while describing what that faction will accept. A factional identity stated in his own words; light band because the declaration is carried in one clause rather than built into an argument about the faction itself.",medium,SPEAKER_02,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:07.000Z
ro_khanna,n,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna_ca_17,34,34,34,0:03:47,0:04:02,227.33,242.05,4187,4438,"been skeptical in the past, but this time I saw the president is so deeply engaged. He is committed to this. He wants this done. He was going through line item by line item, the numbers. He is committed to getting the two whole down senators on board",f7567aa6d76b760fffb507e606df384327e2125bba00ff7ba9447505a331d03f,-5,Nap2Qx7n,sustained_political_argument,12,away,"this time I saw the president is so deeply engaged. He is committed to this. He wants this done. He was going through line item by line item, the numbers","Argues that the framework will hold, on the evidence of the president's personal conduct in the negotiation and his work to bring two holdout senators on board. Sustained argument about public affairs and a politician's conduct; standard band.",high,SPEAKER_02,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:07.000Z
ro_khanna,n,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna_ca_17,40,40,40,0:04:24,0:04:53,264.11,293.2,4825,5357,"a good chance at the election. But if they do take over, the history shows that they often don't repeal things that Democrats put in. We put in Social Security. We put in Medicare. They're often opposed to that. We put in the Affordable Care Act. They were opposed to it. But then they find it's very hard to repeal. because people actually like these programs. I acknowledge it's a gamble. It's better to have it for the long term. But our hope is that once you plant the idea, the principle, that they will be very hard to repeal",f4d0c5bba3b1f82e2918c10fe8cb158c5f6fd5546a5a9c1833871d82af9794e0,-7,Nap2Qx7n,sustained_political_argument,12,away,the history shows that they often don't repeal things that Democrats put in. We put in Social Security. We put in Medicare,"The most developed political argument in the source: partisan control of Congress, the electoral consequence of passing or not passing the bill, and three named enacted statutes offered as evidence that programs survive a change of party, with the gamble conceded. Long, detailed and returned to, which puts it in the -7 band rather than the standard -5.",high,SPEAKER_02,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:07.000Z
ro_khanna,n,transcription,-1fOSKIzRp0,-1fOSKIzRp0,ro_khanna_ca_17,47,47,47,0:05:12,0:05:44,312.76,344.03,5705,6278,"we're exploring that. First, I believe we need to guarantee high-paying good jobs in West Virginia. Let's say 100,000 of those jobs should be in West Virginia because those communities have been hard hit. Binding families have been hard hit. They don't want a handout. They want real proof of the jobs, and we should do that. But we're looking at things like state block grants and incentives for states to hit a renewable goal, things that are flexible that hopefully Senator Manchin also will see is in the interests of the planet, our country, and his state. Congressman",5049ecde0bdc0cafe224a62c49f36b994029faeac507e154b8ac736e106e8d65,-6,Npa9Fh4p,named_policy_advocacy,13,away,"I believe we need to guarantee high-paying good jobs in West Virginia. Let's say 100,000 of those jobs should be in West Virginia",Prescribes a concrete measure with a number attached and names the mechanism he would use - state block grants and incentives for states to hit a renewable goal - in order to move a named senator. Named policy advocacy at the standard band.,high,SPEAKER_02,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:07.000Z
ro_khanna,a,transcription,-ONkkFgs6L8,-ONkkFgs6L8,ro_khanna_ca_17,25,25,25,0:02:09,0:02:17,129.06,137.04,2321,2469,gamed the system why don't we audit everyone who took those covid loans and make sure they actually qualified that would start that'd be a start i'm,51f6ca318c880306f940d52be20715f2f5f1a6a1dbaf9d7865c6bcba1a2f745f,5,A9dRw5Hj,good_law_named_and_wanted,11,toward,why don't we audit everyone who took those covid loans and make sure they actually qualified,"Proposes that every recipient of the COVID loans be audited to confirm they qualified, and offers it as something bipartisan to take up before other legislation. Fires on the substitution test: the criterion's exemplars are filed disclosure and transparency statutes, and the subject's instance is a mandatory audit of an emergency public-money programme, which is the same class - an instrument that forces a public accounting of where public money went and returns it. Class met: remedy, plus the named class of recipient he says should not have qualified. +5 and no higher because the passage names no filed instrument, gives no mechanism for getting it a vote, and names nobody who prevented one.",medium,SPEAKER_09,1.0,grp_a_20260905T2336Z_4286,2026-09-05T23:41:07.000Z
ro_khanna,n,transcription,-ONkkFgs6L8,-ONkkFgs6L8,ro_khanna_ca_17,18,18,18,0:01:06,0:01:20,66.39,80.99,1187,1456,"going to pay our bills, and I don't think we're going to default. It would be catastrophic. It would be a self-inflicted wound on the greatest economy in the world. Why would we want to do that? Pay our bills, and then let's discuss, honestly, how to reduce the deficit",13dfca2bff861468fdc19cb91d55415a0b8ec1766bed72121a29415de1b6209a,-6,Nap2Qx7n,sustained_political_argument,12,away,I don't think we're going to default. It would be catastrophic. It would be a self-inflicted wound on the greatest economy in the world.,"Argues a position on the debt-ceiling standoff in his own voice: that the bills will be paid, that a default would be catastrophic and self-inflicted, and that deficit reduction should be discussed afterwards. Sustained public-affairs argument with a stated position and specifics, and it is what the subject came to the source to do. -6 rather than heavier because the passage asks nothing of an audience and organises nobody.",high,SPEAKER_09,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:07.000Z
ro_khanna,n,transcription,-ONkkFgs6L8,-ONkkFgs6L8,ro_khanna_ca_17,19,19,19,0:01:21,0:01:43,81.14,103.45,1459,1881,"I mean, let's talk about repealing some of Trump's tax cuts on the very wealthy. Let's talk about repealing some of George W. Bush's tax cuts on the very wealthy. Let's talk about scrapping the cap on Social Security after $250,000. Let's talk about certain defense cuts so we don't have a trillion-dollar defense. I've just put a number of proposals on the table, and we can have that conversation after we pay our bills",8d76639e7382f35206bbe5511de6586ccd2460196952290918c3724961beb29c,-7,Npa9Fh4p,named_policy_advocacy,13,away,"let's talk about repealing some of Trump's tax cuts on the very wealthy. Let's talk about repealing some of George W. Bush's tax cuts on the very wealthy. Let's talk about scrapping the cap on Social Security after $250,000. Let's talk about certain defense cuts so we don't have a trillion-dollar defense.","States a position on four identified instruments in one passage: repealing part of what he calls Trump's tax cuts on the very wealthy, repealing part of what he calls George W. Bush's tax cuts on the very wealthy, scrapping the cap on Social Security above $250,000, and defense cuts so the defense budget is not a trillion dollars. Four prescriptions with stated fates and a named threshold, which is the heaviest advocacy passage in the source. -7 and not -10 because nothing is asked of an audience and no mobilization is attached.",high,SPEAKER_11,1.0,grp_n_20260905T2336Z_4286,2026-09-05T23:41:07.000Z
